protocol,model,seed,sample_id,geometry_id,fire_family,crack_count,source_batch,legacy_final_id,flat_response,MAE,RMSE,maximum_overprediction
loco_iso834,capacity_matched_deepsets,42,b004_0000,56c4493a91640adf99623b245b8573d97dbf21ca915831bdf723bb6b9546a2bb,iso834,4,batch_004,sample_0000,False,0.013008072972297668,0.01431212097363393,0.02696526050567627
loco_iso834,capacity_matched_deepsets,42,b004_0001,7c000b5ecc7160e74be209f6bc1ef23dc70dd7cdb1117ae74ebb148b65a62450,iso834,4,batch_004,sample_0001,False,0.007611015658886706,0.010430458565121314,0.027210712432861328
loco_iso834,capacity_matched_deepsets,42,b004_0002,a4c6669c5d3f2e508b42056aab254b5e5385cf2c0e388b32d2d475c826e76d48,iso834,7,batch_004,sample_0002,False,0.006369155999578414,0.009997129629932072,0.0432283878326416
loco_iso834,capacity_matched_deepsets,42,b004_0003,7d3105c20983c15793e025b67d4dd5828c2f275a23af27f3fa0475331af5bc36,iso834,4,batch_004,sample_0003,False,0.010435009161468412,0.013550676396276221,0.03651142120361328
loco_iso834,capacity_matched_deepsets,42,b004_0004,a9c061605d2813f1a123fb90a6595dd10abc8998ff009e20c4aaa52567023ff1,iso834,5,batch_004,sample_0004,False,0.009452641071354757,0.012592386188312182,0.030230462551116943
loco_iso834,capacity_matched_deepsets,42,b004_0005,4af01899b774ff9a439f2d8e885f8bc8313c0e92a8b73b4c5f11281ff605e459,iso834,6,batch_004,sample_0005,False,0.014054551415267538,0.0166333646914253,0.016944169998168945
loco_iso834,capacity_matched_deepsets,42,b004_0006,2924d0a2874ea770ebac7588514ed0db2a93565dbcbaafeea9be21eeb43a2e4e,iso834,3,batch_004,sample_0006,False,0.00774455968229497,0.009736541373235643,0.014042258262634277
loco_iso834,capacity_matched_deepsets,42,b004_0007,bb140ef7812be1ae35c6e7e2ec9a7e53a6f8e3d0587128ac3935e40a17b6548a,iso834,4,batch_004,sample_0007,False,0.006156214802968698,0.008320670105487907,0.022070229053497314
loco_iso834,capacity_matched_deepsets,42,b004_0008,f278aa1d301f2632a948b6e54e3531ee908d4274265a0b03fe0f0b3a857efae2,iso834,3,batch_004,sample_0008,False,0.006019372431958308,0.007092556927522349,0.013628646731376648
loco_iso834,capacity_matched_deepsets,42,b004_0009,d8c505e732a84cdc9edf5dda2d3cb4270ccd2ac8a2c96a27b487dd643244bed6,iso834,8,batch_004,sample_0009,False,0.010274710774910255,0.012251116040970584,0.033080339431762695
loco_iso834,capacity_matched_deepsets,42,b004_0010,d694d56216a7b97e58e6ac2830f3318ee7d77bc0c71efc96da88d1c46eee5f73,iso834,5,batch_004,sample_0010,False,0.005440977264623173,0.007048679819266697,0.017666101455688477
loco_iso834,capacity_matched_deepsets,42,b004_0011,3226dada4bc9d916323bdba5e97d196ea3f119de8bcf2f7db4176364a0dd63a8,iso834,7,batch_004,sample_0011,False,0.008497641223375915,0.010819770153026398,0.04127079248428345
loco_iso834,capacity_matched_deepsets,42,b004_0012,4ad5a4112fd7d51f4366c4888e7dab5d9693d69d5c8eddf961cb2afb99eef04a,iso834,5,batch_004,sample_0012,False,0.005013371222331876,0.006485725770071609,0.022514045238494873
loco_iso834,capacity_matched_deepsets,42,b004_0013,fdab1605eadd1b0ed65333b4fe1348bbd15678d6d49d7c2acc5767143c164bb3,iso834,6,batch_004,sample_0013,False,0.007787233676578178,0.009598770465578185,0.01648712158203125
loco_iso834,capacity_matched_deepsets,42,b004_0014,fa02be82b6e9fe78447e806ad1a55555d05606b3ae9858d5a1a00c60bf327e72,iso834,4,batch_004,sample_0014,False,0.005779266357421875,0.007019126835309129,0.01941072940826416
loco_iso834,capacity_matched_deepsets,42,b004_0015,534735167485225517f4180b932c0ded0d907439e9420d0b8a65655786288f24,iso834,5,batch_004,sample_0015,False,0.008196837589388987,0.010226746570505022,0.023856818675994873
loco_iso834,capacity_matched_deepsets,42,b004_0017,97cfd0b80df54cb36d98b672d36e323cce69aebd950808480ff5cc9ec15f3cb9,iso834,7,batch_004,sample_0016,False,0.009342507627166685,0.0140139685919188,0.0585789680480957
loco_iso834,capacity_matched_deepsets,42,b004_0018,99f5b38e34645694057ba6f712bdd6c96e18ddcccdc01042e16843b2ef8815e4,iso834,1,batch_004,sample_0017,False,0.006923773921415454,0.00934883562974693,0.03155088424682617
loco_iso834,capacity_matched_deepsets,42,b004_0019,12e0031b7aec2a502f6ca881ea52d7238fde0489e4851c2994c7f3a33d349dc8,iso834,8,batch_004,sample_0018,False,0.01442715519520103,0.016635022796168162,0.044278740882873535
loco_iso834,capacity_matched_deepsets,42,b004_0020,a54b28fdcb9085eb7728a6e4ccec87abe8b15016d990629417ad82ffebd43059,iso834,4,batch_004,sample_0019,False,0.00841030215875047,0.00978277216352652,0.020832955837249756
loco_iso834,capacity_matched_deepsets,42,b004_0021,c39fe56063488e06bea6ea0a4e8a7f57f687bbe9f9d14ce8a22cf9af356351d6,iso834,3,batch_004,sample_0020,False,0.006399459526187084,0.008008357007415092,0.021720677614212036
loco_iso834,capacity_matched_deepsets,42,b004_0022,4ec7aeafc91d7a99224d0787dd5797d992b136207950ed0c6363890a5098322b,iso834,2,batch_004,sample_0021,False,0.005614720040657481,0.007337541234689458,0.014194756746292114
loco_iso834,capacity_matched_deepsets,42,b004_0023,4f1157df6a09a1d587cea4a628b3af4fb29c1a4c848a5884dd2dac5d8cc7306e,iso834,7,batch_004,sample_0022,False,0.007980957993718445,0.00936163141674904,0.01930701732635498
