protocol,model,seed,stratum,group,case_count,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
loco_linear,capacity_matched_deepsets,42,fire_family,linear,125,0.02383020173721626,0.047652099016902975,0.041468432392170615,0.9597214862062848,0.24931275844573975,0.24931275844573975,0.12247009277343722,0.20431297779083257,0.019807872225026616,0.04568755059945779,0.04947435719067933,0.052213025562098773,0.12768399715423584,0.2232873558998108,0.23122861385345458,0.24566793680191043
loco_linear,capacity_matched_deepsets,42,crack_count,1,12,0.02052821696333872,0.03339653195173165,0.032086427082977785,0.9805310393255561,0.15197640657424927,0.15197640657424927,0.0739795625209808,0.12894854187965377,0.01967951069112684,0.028362333090578923,0.0293366259971603,0.03013226117755546,0.12178051471710205,0.13991497755050658,0.14559800326824188,0.15070072591304778
loco_linear,capacity_matched_deepsets,42,crack_count,10,4,0.014463455828486895,0.021605843118415527,0.021081688932048447,0.9947928662006443,0.11081540584564209,0.11081540584564209,0.05096955001354216,0.06784304499626159,0.01399365030839795,0.016788346381461036,0.017189485140022685,0.017510396146872005,0.05942004919052124,0.09784107804298402,0.10432824194431303,0.10951797306537626
loco_linear,capacity_matched_deepsets,42,crack_count,11,6,0.02225500846006831,0.04112548942282456,0.03754785254047562,0.968828307217111,0.1956385374069214,0.1956385374069214,0.09914909303188324,0.1767495930194856,0.021319171200033092,0.03183867012868162,0.03188352360100043,0.03191940637885547,0.1126280426979065,0.19232720136642456,0.19398286938667297,0.1953074038028717
loco_linear,capacity_matched_deepsets,42,crack_count,12,5,0.019678502200079745,0.04730928921799275,0.041656773577615956,0.953648523016121,0.24931275844573975,0.24931275844573975,0.1320471167564393,0.2091838026046752,0.017073068462434362,0.030900921782509225,0.034598604968336756,0.03755675151699879,0.13851803541183472,0.23365230560302735,0.24148253202438355,0.2477467131614685
loco_linear,capacity_matched_deepsets,42,crack_count,13,6,0.022161251860238165,0.051918221738604706,0.04580870928585413,0.9101615151131192,0.23465532064437866,0.23465532064437866,0.16160881519317627,0.21208260059356707,0.01738896110995871,0.037096015254005056,0.039887381625957175,0.04212047472351887,0.13129836320877075,0.21345853805541992,0.2240569293498993,0.2325356423854828
loco_linear,capacity_matched_deepsets,42,crack_count,14,5,0.016989191047480846,0.03530419371653702,0.02927158243416359,0.9824513962555287,0.18733912706375122,0.18733912706375122,0.09030008316040047,0.15615050554275509,0.01098303386911017,0.02915871123798558,0.02961723765388864,0.02998405878661109,0.07871723175048828,0.17955778837203978,0.1834484577178955,0.18656099319458008
loco_linear,capacity_matched_deepsets,42,crack_count,15,6,0.020224624644211733,0.04103259559115438,0.038031336261053865,0.9710458154472209,0.21513116359710693,0.21513116359710693,0.09927995502948761,0.19192292094230684,0.020075516378293273,0.025689553530489812,0.027626262580762145,0.02917562982098001,0.13270026445388794,0.20101448893547058,0.20807282626628876,0.2137194961309433
loco_linear,capacity_matched_deepsets,42,crack_count,2,11,0.03413497433399479,0.0651164029800469,0.0580371365583677,0.9131468134421714,0.23930543661117554,0.23930543661117554,0.17743268609046936,0.21876783967018126,0.04516080461564611,0.05137608481235192,0.05192670372665906,0.05236719885810477,0.2103431224822998,0.23138105869293213,0.23534324765205383,0.2385129988193512
loco_linear,capacity_matched_deepsets,42,crack_count,3,8,0.02310447700199534,0.047950819439360116,0.03936523352660494,0.9534314827874009,0.23032695055007935,0.23032695055007935,0.11827417314052567,0.2047444075345993,0.015533287749915827,0.04901130609825009,0.04965603566560589,0.05017181931949053,0.12032356858253479,0.22358092665672302,0.22695393860340118,0.2296523481607437
loco_linear,capacity_matched_deepsets,42,crack_count,4,10,0.023573844660012448,0.043720139401872124,0.03908880100264791,0.9677020105670472,0.223774254322052,0.223774254322052,0.10856237709522241,0.1776053047180173,0.021075608788943684,0.03806999237810979,0.043248729432215444,0.04739171907549999,0.1316746175289154,0.19445143342018126,0.20911284387111662,0.22084197223186494
loco_linear,capacity_matched_deepsets,42,crack_count,5,12,0.03542724667025394,0.06649807383108672,0.06134829685403623,0.8972149965678021,0.24767714738845825,0.24767714738845825,0.174879902601242,0.22532720983028404,0.034275491950941865,0.05066976684038756,0.053388721190515104,0.05594496894078177,0.17312172055244446,0.23657485246658325,0.24184401631355285,0.2465105211734772
