protocol,contrast,metric,baseline,candidate,effect,ci95_low,ci95_high,status,paired_seed_count,valid_bootstrap,bootstrap_repetitions
loco_log_variant,attention_vs_matched_set,final_MAE,capacity_matched_deepsets,set_attention,-0.0012099595389504364,-0.0032488281885836904,0.0009005764776003985,ESTIMATED,5,1000,1000
loco_log_variant,attention_vs_matched_set,final_bias,capacity_matched_deepsets,set_attention,0.0016111369798148885,-0.0024016013973648994,0.006267219892014626,ESTIMATED,5,1000,1000
loco_log_variant,attention_vs_matched_set,time_average_MAE,capacity_matched_deepsets,set_attention,-1.5992240503357943e-05,-0.0016996245881135267,0.001305001519956734,ESTIMATED,5,1000,1000
loco_log_variant,attention_vs_matched_set,time_average_bias,capacity_matched_deepsets,set_attention,-0.0012343886546826578,-0.004687610076342208,0.0013443672388695276,ESTIMATED,5,1000,1000
loco_log_variant,attention_vs_matched_set,q0.8_recall,capacity_matched_deepsets,set_attention,0.0,0.0,0.0,ESTIMATED,5,1000,1000
loco_log_variant,attention_vs_matched_set,q0.8_false_positive_rate,capacity_matched_deepsets,set_attention,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000
loco_log_variant,attention_vs_matched_set,q0.8_balanced_accuracy,capacity_matched_deepsets,set_attention,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000
loco_log_variant,attention_vs_matched_set,q0.8_conditional_timing_MAE_s,capacity_matched_deepsets,set_attention,-2.4347826086956488,-13.569565217391304,5.217391304347824,ESTIMATED,5,1000,1000
loco_log_variant,attention_vs_matched_set,q0.8_conditional_timing_median_abs_s,capacity_matched_deepsets,set_attention,0.0,-36.0,36.0,ESTIMATED,5,1000,1000
loco_log_variant,attention_vs_matched_set,q0.8_conditional_timing_bias_s,capacity_matched_deepsets,set_attention,-8.347826086956523,-22.60869565217391,3.3086956521739093,ESTIMATED,5,1000,1000
loco_log_variant,attention_vs_matched_set,q0.6_recall,capacity_matched_deepsets,set_attention,0.0,0.0,0.0,ESTIMATED,5,1000,1000
loco_log_variant,attention_vs_matched_set,q0.6_false_positive_rate,capacity_matched_deepsets,set_attention,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000
loco_log_variant,attention_vs_matched_set,q0.6_balanced_accuracy,capacity_matched_deepsets,set_attention,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000
