protocol,contrast,baseline,candidate,independent_test_geometries,seed_count,point_baseline_minus_attention,display_point_times1000,positive_favors,geometry_only_CI95_low,geometry_only_CI95_high,geometry_only_display_CI95_low_times1000,geometry_only_display_CI95_high_times1000,seed_only_CI95_low,seed_only_CI95_high,seed_only_display_CI95_low_times1000,seed_only_display_CI95_high_times1000,two_way_CI95_low,two_way_CI95_high,two_way_display_CI95_low_times1000,two_way_display_CI95_high_times1000
iid997,attention_vs_matched_set,capacity_matched_deepsets,set_attention,160,5,-0.000670590152635743,-0.670590152635743,set_attention,-0.0009862208501884302,-0.00035194620454195375,-0.9862208501884302,-0.35194620454195374,-0.0008778114952376021,-0.00046632364331210247,-0.877811495237602,-0.46632364331210246,-0.001111697253820746,-0.0002750912495539524,-1.111697253820746,-0.2750912495539524
iid997,attention_vs_sum_GNN,gnn,set_attention,160,5,-0.00047466858855036445,-0.4746685885503645,set_attention,-0.0007821559957600746,-0.00015587592255858495,-0.7821559957600747,-0.15587592255858496,-0.0007748898098504811,-0.00015509204408459238,-0.7748898098504812,-0.15509204408459237,-0.0009423532049566676,1.7765405860758686e-06,-0.9423532049566675,0.0017765405860758687
lcro_9_15,attention_vs_matched_set,capacity_matched_deepsets,set_attention,264,5,8.706519147959492e-06,0.008706519147959493,set_attention,-0.0003005696667653915,0.0003195936740059132,-0.3005696667653915,0.3195936740059132,-0.0005392701627609819,0.0004847168251807292,-0.5392701627609819,0.48471682518072917,-0.0006242982589810212,0.0006506338775305046,-0.6242982589810212,0.6506338775305046
lcro_9_15,attention_vs_sum_GNN,gnn,set_attention,264,5,-0.0006367610605554798,-0.6367610605554798,set_attention,-0.0010157561788191557,-0.0002715540365844557,-1.0157561788191558,-0.2715540365844557,-0.0010371095897843603,-0.0002364125313265994,-1.0371095897843603,-0.2364125313265994,-0.0012145078550579818,-7.922272508460075e-06,-1.2145078550579818,-0.007922272508460075
loco_iso834,attention_vs_matched_set,capacity_matched_deepsets,set_attention,158,5,-0.0002876130126155395,-0.2876130126155395,set_attention,-0.0005152364692960532,-5.480056940314141e-05,-0.5152364692960532,-0.05480056940314141,-0.0006087331303448864,9.81123942103369e-05,-0.6087331303448864,0.09811239421033689,-0.0007231748994987927,0.000168952786721773,-0.7231748994987927,0.168952786721773
loco_iso834,attention_vs_sum_GNN,gnn,set_attention,158,5,-0.0003147779400942607,-0.3147779400942607,set_attention,-0.0005592061598553502,-6.694803960408004e-05,-0.5592061598553503,-0.06694803960408004,-0.000596452500299315,1.0527177414450787e-05,-0.5964525002993151,0.010527177414450787,-0.0007425435950767389,0.00010625636800126362,-0.7425435950767388,0.10625636800126362
loco_astm_e119,attention_vs_matched_set,capacity_matched_deepsets,set_attention,95,5,-4.688820543733523e-05,-0.04688820543733523,set_attention,-0.0003051188390756651,0.00021803668640856083,-0.3051188390756651,0.21803668640856083,-0.0004799473528670689,0.0003192524923087194,-0.4799473528670689,0.31925249230871944,-0.0005798440400745663,0.00043525680773943634,-0.5798440400745664,0.4352568077394363
loco_astm_e119,attention_vs_sum_GNN,gnn,set_attention,95,5,-0.00038400943226295876,-0.38400943226295875,set_attention,-0.000658394893671517,-0.00010643549528329745,-0.6583948936715169,-0.10643549528329746,-0.0006158290164443931,-0.00010232322091579026,-0.615829016444393,-0.10232322091579026,-0.000807653005864082,4.791824083463475e-05,-0.807653005864082,0.04791824083463475
loco_perturbed_iso,attention_vs_matched_set,capacity_matched_deepsets,set_attention,111,5,-0.0004014247562117317,-0.4014247562117317,set_attention,-0.0007264094183551847,-0.00010441978441546099,-0.7264094183551847,-0.10441978441546099,-0.0008174113661882675,-7.621591613345867e-05,-0.8174113661882675,-0.07621591613345867,-0.0009403712016653711,8.93665403248709e-05,-0.9403712016653711,0.0893665403248709
loco_perturbed_iso,attention_vs_sum_GNN,gnn,set_attention,111,5,-0.0004837319279083244,-0.48373192790832437,set_attention,-0.0008725423811507261,-0.00012566747267655866,-0.8725423811507261,-0.12566747267655867,-0.0010188376721093195,-4.0645456801769345e-05,-1.0188376721093195,-0.04064545680176934,-0.0011552665608418854,0.00013190205918005743,-1.1552665608418853,0.13190205918005743
loco_plateau,attention_vs_matched_set,capacity_matched_deepsets,set_attention,103,5,-0.0011738096809270522,-1.1738096809270522,set_attention,-0.0015751329195981697,-0.0007880247110945916,-1.5751329195981696,-0.7880247110945916,-0.0016010260937245394,-0.0006487412824361127,-1.6010260937245393,-0.6487412824361127,-0.001834996064483631,-0.0005164716382527712,-1.8349960644836312,-0.5164716382527712
loco_plateau,attention_vs_sum_GNN,gnn,set_attention,103,5,-0.001642687188097669,-1.642687188097669,set_attention,-0.002245839963580085,-0.0011052735471398655,-2.245839963580085,-1.1052735471398654,-0.001907117798279354,-0.0014027827593213183,-1.907117798279354,-1.4027827593213182,-0.002374857954429524,-0.0010253034896772711,-2.374857954429524,-1.0253034896772713
loco_decay,attention_vs_matched_set,capacity_matched_deepsets,set_attention,113,5,0.000811811173695465,0.811811173695465,set_attention,0.00026307075446149736,0.0013708369205487614,0.26307075446149736,1.3708369205487614,0.000505372465962546,0.0011650329605166461,0.505372465962546,1.165032960516646,8.451632519241654e-05,0.0015248681416246764,0.08451632519241653,1.5248681416246763
loco_decay,attention_vs_sum_GNN,gnn,set_attention,113,5,0.0017797384244098936,1.7797384244098937,set_attention,0.0010829797111495943,0.0025286974202331875,1.0829797111495942,2.5286974202331876,0.0005857842908565526,0.003018480709886475,0.5857842908565526,3.018480709886475,0.00038582570917864383,0.0034101398217162263,0.38582570917864384,3.410139821716226
loco_log_variant,attention_vs_matched_set,capacity_matched_deepsets,set_attention,69,5,-0.000861641068261999,-0.861641068261999,set_attention,-0.0013288980124292137,-0.00035545004780447874,-1.3288980124292138,-0.35545004780447875,-0.0018954696014689902,0.00029251799323717974,-1.8954696014689902,0.29251799323717975,-0.0021448828672924265,0.00034562211075917594,-2.1448828672924267,0.3456221107591759
loco_log_variant,attention_vs_sum_GNN,gnn,set_attention,69,5,-0.0008023498135108397,-0.8023498135108397,set_attention,-0.001344462052823161,-0.00025734245573341143,-1.344462052823161,-0.2573424557334114,-0.0019051954821973547,0.0002149207447141047,-1.9051954821973547,0.21492074471410472,-0.002080091920425289,0.0004579676945916601,-2.080091920425289,0.4579676945916601
loco_external_fire,attention_vs_matched_set,capacity_matched_deepsets,set_attention,49,5,-0.00035424736101278767,-0.35424736101278764,set_attention,-0.0008159924783099252,0.00011983782676160317,-0.8159924783099252,0.11983782676160318,-0.0016657460818684754,0.0006761640529642139,-1.6657460818684753,0.6761640529642139,-0.0018204406941513347,0.0009250330858682854,-1.8204406941513347,0.9250330858682854
loco_external_fire,attention_vs_sum_GNN,gnn,set_attention,49,5,-0.0006275948023628573,-0.6275948023628574,set_attention,-0.0011685784127439852,-9.7346254697649e-05,-1.1685784127439853,-0.097346254697649,-0.0015389484290735261,-2.0897136200387594e-05,-1.538948429073526,-0.020897136200387596,-0.0017187325637968297,0.0003988617928321636,-1.7187325637968296,0.3988617928321636
loco_bilinear,attention_vs_matched_set,capacity_matched_deepsets,set_attention,77,5,0.0037127525305935796,3.71275253059358,set_attention,0.0014641448164908766,0.006227940125844951,1.4641448164908766,6.227940125844952,0.0005031239010563346,0.007867562226762359,0.5031239010563346,7.867562226762359,-0.0005862925051913151,0.008992850845713348,-0.586292505191315,8.992850845713349
loco_bilinear,attention_vs_sum_GNN,gnn,set_attention,77,5,0.0031136207173092455,3.1136207173092454,set_attention,0.0017331779370517054,0.004710667557778043,1.7331779370517053,4.710667557778043,-0.0018928627191083292,0.008120104153726819,-1.8928627191083292,8.12010415372682,-0.002298255622520176,0.008764381707031876,-2.298255622520176,8.764381707031875
loco_linear,attention_vs_matched_set,capacity_matched_deepsets,set_attention,125,5,-0.008382555963172285,-8.382555963172285,set_attention,-0.009811688898215529,-0.006988561094833202,-9.811688898215529,-6.9885610948332015,-0.020786456402403414,0.0005034169990508288,-20.786456402403413,0.5034169990508288,-0.020801865417419886,0.0003894820676524074,-20.801865417419886,0.3894820676524074
loco_linear,attention_vs_sum_GNN,gnn,set_attention,125,5,-0.009337556823550678,-9.337556823550678,set_attention,-0.010612885133892788,-0.0081079101126409,-10.612885133892789,-8.1079101126409,-0.02115950608644329,0.001442876645971517,-21.15950608644329,1.442876645971517,-0.021435370654908362,0.0018956897547792154,-21.43537065490836,1.8956897547792153
loco_smoldering,attention_vs_matched_set,capacity_matched_deepsets,set_attention,97,5,-0.0004114020590002881,-0.4114020590002881,set_attention,-0.0006139182238557034,-0.00022212636260259412,-0.6139182238557034,-0.2221263626025941,-0.0014499676535817366,0.0004357038729694906,-1.4499676535817365,0.4357038729694906,-0.0014786298372303488,0.0005233896373997311,-1.4786298372303488,0.5233896373997311
loco_smoldering,attention_vs_sum_GNN,gnn,set_attention,97,5,-0.0009132711835380579,-0.9132711835380579,set_attention,-0.0010751916790745922,-0.0007526089580695291,-1.0751916790745921,-0.7526089580695291,-0.003289671638879458,0.0014631292718033425,-3.289671638879458,1.4631292718033424,-0.003351871976734356,0.0014334557302521555,-3.351871976734356,1.4334557302521556
