protocol,model,endpoint,budget,N,k,actual_budget_fraction,independent_seed_count,U_defined_seeds,U_mean,U_sample_sd,U_min,U_max,regret_raw_defined_seeds,regret_raw_mean,regret_raw_sample_sd,regret_raw_min,regret_raw_max,regret_display_defined_seeds,regret_display_mean,regret_display_sample_sd,regret_display_min,regret_display_max,improvement_over_random_defined_seeds,improvement_over_random_mean,improvement_over_random_sample_sd,improvement_over_random_min,improvement_over_random_max,oracle_improvement_fraction_defined_seeds,oracle_improvement_fraction_mean,oracle_improvement_fraction_sample_sd,oracle_improvement_fraction_min,oracle_improvement_fraction_max
iid997,fire_only,terminal,10%,160,16,0.1,5,5,0.04288166144164279,0.0007690017764662146,0.04205593006918207,0.043937450612429534,5,0.006610129317268731,0.0007690017764662146,0.005784397944808006,0.007665918488055472,5,0.006610129317268731,0.0007690017764662146,0.005784397944808006,0.007665918488055472,5,0.20759807506925426,0.0007690017764662192,0.20654228589846751,0.208423806441715,5,0.9691415679609487,0.0035899734964334393,0.9642127690206352,0.9729963753658544
iid997,fire_only,terminal,25%,160,40,0.25,5,5,0.049942582230083646,0.0006443426634204773,0.04913773799780756,0.05059173826593906,5,0.003960059968754646,0.0006443426634204773,0.0031552157364785616,0.004609216004610062,5,0.003960059968754646,0.0006443426634204773,0.0031552157364785616,0.004609216004610062,5,0.20053715428081342,0.0006443426634204709,0.199887998244958,0.20134199851308948,5,0.9806351397827757,0.00315086279187214,0.977460739396748,0.9845708620136606
iid997,fire_only,terminal,50%,160,80,0.5,5,5,0.058136851650197066,0.00016058046438478113,0.05806503788335249,0.05842410671757534,5,0.0003862807713449004,0.00016058046438478113,0.0003144670045003295,0.0006735358387231841,5,0.0003862807713449004,0.00016058046438478113,0.0003144670045003295,0.0006735358387231841,5,0.1923428848607,0.00016058046438477804,0.19205562979332172,0.19241469862754457,5,0.9979957326641345,0.0008331923394062293,0.9965052728967391,0.9983683476059835
iid997,fire_only,J,10%,160,16,0.1,5,5,0.3365094377427643,0.0007327128955794161,0.33570679098059675,0.3370445355842093,5,0.0059392945346189215,0.0007327128955794161,0.005136647772451375,0.006474392376063953,5,0.0059392945346189215,0.0007327128955794161,0.005136647772451375,0.006474392376063953,5,0.17388564129009568,0.0007327128955794161,0.17335054344865064,0.17468828805226322,5,0.9669717967234073,0.004074590057374655,0.96399613687406,0.9714352864974279
iid997,fire_only,J,25%,160,40,0.25,5,5,0.3509942218217397,0.0,0.3509942218217397,0.3509942218217397,5,0.005302585097371304,0.0,0.005302585097371304,0.005302585097371304,5,0.005302585097371304,0.0,0.005302585097371304,0.005302585097371304,5,0.15940085721112024,0.0,0.15940085721112024,0.15940085721112024,5,0.9678052563865697,0.0,0.9678052563865697,0.9678052563865697
iid997,fire_only,J,50%,160,80,0.5,5,5,0.35868192329947,0.0,0.35868192329947,0.35868192329947,5,0.0005093303835019269,0.0,0.0005093303835019269,0.0005093303835019269,5,0.0005093303835019269,0.0,0.0005093303835019269,0.0005093303835019269,5,0.15171315573338995,0.0,0.15171315573338995,0.15171315573338995,5,0.9966540397776,1.2412670766236366e-16,0.9966540397776001,0.9966540397776001
iid997,global_stats,terminal,10%,160,16,0.1,5,5,0.03815377667779103,0.00035437782374437627,0.03799074963899329,0.03878768492722884,5,0.0018822445534169673,0.00035437782374437627,0.0017192175146192312,0.0025161528028547764,5,0.0018822445534169673,0.00035437782374437627,0.0017192175146192312,0.0025161528028547764,5,0.21232595983310604,0.00035437782374437627,0.21169205158366822,0.21248898687190376,5,0.9912130137180899,0.00165436158133757,0.9882537048006128,0.991974081853947
iid997,global_stats,terminal,25%,160,40,0.25,5,5,0.04754348407033831,0.00027280145956296546,0.047231930890120566,0.04788473185617477,5,0.0015609618090093118,0.00027280145956296546,0.0012494086287915679,0.0019022095948457718,5,0.0015609618090093118,0.00027280145956296546,0.0012494086287915679,0.0019022095948457718,5,0.20293625244055877,0.00027280145956295917,0.2025950046547223,0.2032478056207765,5,0.9923668309383211,0.0013340106395289648,0.9906981148773777,0.9938903391257604
iid997,global_stats,terminal,50%,160,80,0.5,5,5,0.05793729027034715,6.427738301605165e-05,0.05789034870686009,0.05800770261557773,5,0.0001867193914949883,6.427738301605165e-05,0.0001397778280079337,0.00025713173672557016,5,0.0001867193914949883,6.427738301605165e-05,0.0001397778280079337,0.00025713173672557016,5,0.19254244624054992,6.427738301604025e-05,0.19247203389531933,0.19258938780403695,5,0.9990311824840695,0.000333511447555183,0.9986658389980452,0.9992747448080858
iid997,global_stats,J,10%,160,16,0.1,5,5,0.3322386778707975,1.2915803128095464e-05,0.3322329017480418,0.33226178236182025,5,0.0016685346626521325,1.2915803128095464e-05,0.0016627585398964473,0.0016916391536748732,5,0.0016685346626521325,1.2915803128095464e-05,0.0016627585398964473,0.0016916391536748732,5,0.17815640116206247,1.2915803128095464e-05,0.17813329667103972,0.17816217728481815,5,0.9907213387564973,7.182431662694357e-05,0.990592855512965,0.9907534595673804
