protocol,contrast,baseline,candidate,endpoint,budget,N,k,seed,U_baseline_minus_candidate
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,160,16,42,0.002065112814307213
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,160,16,43,-4.693539813160896e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,160,16,44,0.00046234228648245335
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,160,16,45,-0.000388577114790678
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,160,16,46,-0.0001708557829260826
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,160,40,42,-0.0007113644853234333
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,160,40,43,-0.0003830399364233017
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,160,40,44,-0.00015076678246259828
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,160,40,45,-6.515923887491504e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,160,40,46,-0.00041684983298182626
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,160,80,42,0.0
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,160,80,43,-0.0002388392575085191
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,160,80,44,0.0002388392575085191
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,160,80,45,0.0
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,160,80,46,-2.0942836999889025e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,160,16,42,0.0005281119529778611
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,160,16,43,0.0011329308540249938
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,160,16,44,-0.0008141909299108074
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,160,16,45,0.0027460355757890076
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,160,16,46,8.914938080123447e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,160,40,42,-0.0005233717927087822
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,160,40,43,-0.00013097610790274716
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,160,40,44,-3.031649937229597e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,160,40,45,0.0007104203601678294
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,160,40,46,-0.00029689089705542404
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,160,80,42,3.804814458513439e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,160,80,43,3.717858344315372e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,160,80,44,-1.0336768658136819e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,160,80,45,5.993123709541193e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,160,80,46,-1.6439231112608255e-05
iid997,mean_vs_sum,gnn,gnn_mean,terminal,10%,160,16,42,-0.0012631283607333899
iid997,mean_vs_sum,gnn,gnn_mean,terminal,10%,160,16,43,0.0006746607832610607
iid997,mean_vs_sum,gnn,gnn_mean,terminal,10%,160,16,44,-0.0003026607446372509
iid997,mean_vs_sum,gnn,gnn_mean,terminal,10%,160,16,45,0.00019779382273554802
iid997,mean_vs_sum,gnn,gnn_mean,terminal,10%,160,16,46,0.0007834162097424269
