protocol,endpoint,budget,N,k,actual_budget_fraction,constant_reference,U_oracle,U_random,available_oracle_improvement,random_policy_SD
iid997,terminal,10%,160,16,0.1,False,0.03627153212437406,0.25047973651089706,0.214208204386523,0.06834362623964496
iid997,terminal,25%,160,40,0.25,False,0.045982522261329,0.25047973651089706,0.20449721424956807,0.039458211006854184
iid997,terminal,50%,160,80,0.5,False,0.05775057087885216,0.25047973651089706,0.1927291656320449,0.02278120874654832
iid997,J,10%,160,16,0.1,False,0.3305701432081454,0.51039507903286,0.1798249358247146,0.051426095870527815
iid997,J,25%,160,40,0.25,False,0.3456916367243684,0.51039507903286,0.16470344230849154,0.029690870294220736
iid997,J,50%,160,80,0.5,False,0.3581725929159681,0.51039507903286,0.15222248611689188,0.017142031956842604
lcro_9_15,terminal,10%,264,26,0.09848484848484848,False,0.03435199059402713,0.3251452185460507,0.29079322795202356,0.05919037144036003
lcro_9_15,terminal,25%,264,66,0.25,False,0.04551364909010855,0.3251452185460507,0.27963156945594214,0.03388518711329564
lcro_9_15,terminal,50%,264,132,0.5,False,0.09607907999165807,0.3251452185460507,0.22906613855439265,0.019563621901402074
lcro_9_15,J,10%,264,26,0.09848484848484848,False,0.33071466344356454,0.5551346866233523,0.22442002317978776,0.0437812440667023
lcro_9_15,J,25%,264,66,0.25,False,0.3452887756395156,0.5551346866233523,0.2098459109838367,0.025063800262647044
lcro_9_15,J,50%,264,132,0.5,False,0.3759200694783963,0.5551346866233523,0.179214617144956,0.014470591828554284
loco_iso834,terminal,10%,158,15,0.0949367088607595,False,0.04213224897782008,0.05518461193276357,0.01305236295494349,0.001638804594269676
loco_iso834,terminal,25%,158,39,0.2468354430379747,False,0.046073654236701816,0.05518461193276357,0.009110957696061753,0.00092714137128015
loco_iso834,terminal,50%,158,79,0.5,False,0.049785126094953926,0.05518461193276357,0.005399485837809644,0.0005307680638220082
loco_iso834,J,10%,158,15,0.0949367088607595,False,0.3416529415506455,0.3623710454559496,0.020718103905304097,0.0025214506550913286
loco_iso834,J,25%,158,39,0.2468354430379747,False,0.34887123109820567,0.3623710454559496,0.013499814357743944,0.0014264917404740423
loco_iso834,J,50%,158,79,0.5,False,0.3541452905658303,0.3623710454559496,0.008225754890119341,0.0008166351784130596
loco_astm_e119,terminal,10%,95,9,0.09473684210526316,False,0.044127686570088066,0.05950611880735347,0.015378432237265406,0.0025583350963872616
loco_astm_e119,terminal,25%,95,23,0.24210526315789474,False,0.04882820225928141,0.05950611880735347,0.010677916548072063,0.0014643058183376868
loco_astm_e119,terminal,50%,95,47,0.49473684210526314,False,0.053004081896010864,0.05950611880735347,0.006502036911342608,0.0008363752015379143
loco_astm_e119,J,10%,95,9,0.09473684210526316,False,0.34385400868055443,0.3633959943680255,0.019541985687471064,0.003258624323509661
loco_astm_e119,J,25%,95,23,0.24210526315789474,False,0.3496610151549828,0.3633959943680255,0.013734979213042675,0.001865128052783283
loco_astm_e119,J,50%,95,47,0.49473684210526314,False,0.35477670903601655,0.3633959943680255,0.008619285332008952,0.0010653149304641312
loco_perturbed_iso,terminal,10%,111,11,0.0990990990990991,False,0.03907082737846808,0.05377295730752988,0.014702129929061801,0.0020766471975934885
loco_perturbed_iso,terminal,25%,111,27,0.24324324324324326,False,0.04381324530199722,0.05377295730752988,0.00995971200553266,0.001214833680270701
loco_perturbed_iso,terminal,50%,111,55,0.4954954954954955,False,0.0479191083799709,0.05377295730752988,0.005853848927558983,0.0006949790797761927
loco_perturbed_iso,J,10%,111,11,0.0990990990990991,False,0.3395752046059704,0.3598182598937179,0.020243055287747502,0.0028698908057608378
loco_perturbed_iso,J,25%,111,27,0.24324324324324326,False,0.3460880205322655,0.3598182598937179,0.013730239361452401,0.0016788793077503624
loco_perturbed_iso,J,50%,111,55,0.4954954954954955,False,0.35196381237978747,0.3598182598937179,0.00785444751393044,0.0009604491670791048
loco_plateau,terminal,10%,103,10,0.0970873786407767,False,0.02670056838542223,0.1258361974134318,0.09913562902800957,0.022689533548695507
loco_plateau,terminal,25%,103,25,0.24271844660194175,False,0.040556063130497935,0.1258361974134318,0.08528013428293386,0.013141997810070387
loco_plateau,terminal,50%,103,51,0.49514563106796117,False,0.057131268997110574,0.1258361974134318,0.06870492841632123,0.007512780101243404
loco_plateau,J,10%,103,10,0.0970873786407767,False,0.3212794950961446,0.389144835354079,0.06786534025793439,0.013384208622634307
loco_plateau,J,25%,103,25,0.24271844660194175,False,0.3360065802025299,0.389144835354079,0.05313825515154913,0.007752263396278502
loco_plateau,J,50%,103,51,0.49514563106796117,False,0.3493819094281279,0.389144835354079,0.0397629259259511,0.004431674013712745
loco_decay,terminal,10%,113,11,0.09734513274336283,False,0.10525591197338971,0.2503640258074862,0.14510811383409647,0.03535953216027322
loco_decay,terminal,25%,113,28,0.24778761061946902,False,0.11657148040831089,0.2503640258074862,0.1337925453991753,0.02023173901833877
loco_decay,terminal,50%,113,56,0.49557522123893805,False,0.13698169416082756,0.2503640258074862,0.11338233164665862,0.011715104887997166
loco_decay,J,10%,113,11,0.09734513274336283,False,0.3547495228887507,0.422208713378021,0.0674591904892703,0.016328703630971584
loco_decay,J,25%,113,28,0.24778761061946902,False,0.36229437496069633,0.422208713378021,0.059914338417324686,0.009342829222745722
loco_decay,J,50%,113,56,0.49557522123893805,False,0.37180956357180894,0.422208713378021,0.050399149806212074,0.005409926660080963
loco_log_variant,terminal,10%,69,6,0.08695652173913043,False,0.005281683581415564,0.20082560650484663,0.19554392292343106,0.049107510274369014
loco_log_variant,terminal,25%,69,17,0.2463768115942029,False,0.03074239125228761,0.20082560650484663,0.170083215252559,0.026505162902599164
loco_log_variant,terminal,50%,69,34,0.4927536231884058,False,0.08786405259674854,0.20082560650484663,0.11296155390809809,0.015376157904261716
loco_log_variant,J,10%,69,6,0.08695652173913043,False,0.2886735252481432,0.48503837278316636,0.19636484753502315,0.0439329204156321
loco_log_variant,J,25%,69,17,0.2463768115942029,False,0.32565115213162477,0.48503837278316636,0.1593872206515416,0.023712242911468097
loco_log_variant,J,50%,69,34,0.4927536231884058,False,0.3860440100137174,0.48503837278316636,0.09899436276944895,0.013755930971289751
loco_external_fire,terminal,10%,49,4,0.08163265306122448,False,0.18635793030261993,0.21260092392259713,0.0262429936199772,0.007610087344821987
loco_external_fire,terminal,25%,49,12,0.24489795918367346,False,0.19234922031561533,0.21260092392259713,0.020251703606981808,0.003984039349468522
loco_external_fire,terminal,50%,49,24,0.4897959183673469,False,0.1991265950103601,0.21260092392259713,0.013474328912237044,0.0023156758351908875
loco_external_fire,J,10%,49,4,0.08163265306122448,False,0.425167868565768,0.4502963636349253,0.02512849506915732,0.006635074049712722
loco_external_fire,J,25%,49,12,0.24489795918367346,False,0.4313918898916907,0.4502963636349253,0.018904473743234618,0.003473599566328143
loco_external_fire,J,50%,49,24,0.4897959183673469,False,0.43899143860261475,0.4502963636349253,0.011304925032310564,0.0020189887376360067
loco_bilinear,terminal,10%,77,7,0.09090909090909091,False,0.13227943969624384,0.37343574760409143,0.2411563079078476,0.04727903114986452
loco_bilinear,terminal,25%,77,19,0.24675324675324675,False,0.197519582745276,0.37343574760409143,0.17591616485881542,0.026121960272945166
loco_bilinear,terminal,50%,77,38,0.4935064935064935,False,0.26680824062541914,0.37343574760409143,0.10662750697867229,0.015146387850810166
loco_bilinear,J,10%,77,7,0.09090909090909091,False,0.41961058581336624,0.5647845646237464,0.14517397881038013,0.0284238427397361
loco_bilinear,J,25%,77,19,0.24675324675324675,False,0.4592923390466655,0.5647845646237464,0.10549222557708088,0.01570435080402351
loco_bilinear,J,50%,77,38,0.4935064935064935,False,0.5014815471625249,0.5647845646237464,0.06330301746122147,0.00910590881149457
loco_linear,terminal,10%,125,12,0.096,False,0.09271995909512043,0.41147879654169084,0.3187588374465704,0.05874090409555263
loco_linear,terminal,25%,125,31,0.248,False,0.17095944597836463,0.41147879654169084,0.2405193505633262,0.03333305414258922
loco_linear,terminal,50%,125,62,0.496,False,0.23832376890124812,0.41147879654169084,0.17315502764044272,0.01929596300571722
loco_linear,J,10%,125,12,0.096,False,0.6265696070105252,0.793898721368611,0.16732911435808573,0.02796535579280966
loco_linear,J,25%,125,31,0.248,False,0.6727064386390711,0.793898721368611,0.12119228272953986,0.015869192568812907
loco_linear,J,50%,125,62,0.496,False,0.7098881775763647,0.793898721368611,0.08401054379224626,0.009186417525034832
loco_smoldering,terminal,10%,97,9,0.09278350515463918,False,0.9481219318177965,0.9949243738479221,0.046802442030125624,0.0078854292202009
loco_smoldering,terminal,25%,97,24,0.24742268041237114,False,0.9794860109686852,0.9949243738479221,0.015438362879236944,0.004398059147599035
loco_smoldering,terminal,50%,97,48,0.4948453608247423,False,0.9897430054843426,0.9949243738479221,0.005181368363579519,0.0025479017542821307
loco_smoldering,J,10%,97,9,0.09278350515463918,False,0.9971160944965151,0.9997288311111557,0.002612736614640676,0.00046629905892128836
loco_smoldering,J,25%,97,24,0.24742268041237114,False,0.9989040257409215,0.9997288311111557,0.0008248053702342162,0.0002600759938789158
loco_smoldering,J,50%,97,48,0.4948453608247423,False,0.9994520128704608,0.9997288311111557,0.00027681824069492045,0.0001506682968128129
