protocol,contrast,baseline,candidate,endpoint,budget,N,k,independent_seed_count,U_baseline_minus_candidate_defined_seeds,U_baseline_minus_candidate_mean,U_baseline_minus_candidate_sample_sd,U_baseline_minus_candidate_min,U_baseline_minus_candidate_max
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,160,16,5,5,0.0003842173609882593,0.0009902932933679135,-0.000388577114790678,0.002065112814307213
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,160,40,5,5,-0.00034543605521321493,0.00025341113581991764,-0.0007113644853234333,-6.515923887491504e-05
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,160,80,5,5,-4.188567399977805e-06,0.00016914436422160546,-0.0002388392575085191,0.0002388392575085191
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,160,16,5,5,0.0007364073667364579,0.0013287702370901456,-0.0008141909299108074,0.0027460355757890076
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,160,40,5,5,-5.4226987374284e-05,0.00046640388250840495,-0.0005233717927087822,0.0007104203601678294
iid997,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,160,80,5,5,2.1676393070590993e-05,3.335201858999345e-05,-1.6439231112608255e-05,5.993123709541193e-05
iid997,mean_vs_sum,gnn,gnn_mean,terminal,10%,160,16,5,5,1.801634207367897e-05,0.0008356889920291484,-0.0012631283607333899,0.0007834162097424269
iid997,mean_vs_sum,gnn,gnn_mean,terminal,25%,160,40,5,5,0.00034859005361795314,0.0002609224955347152,-4.784846678376059e-05,0.0006527608260512366
iid997,mean_vs_sum,gnn,gnn_mean,terminal,50%,160,80,5,5,5.195641890168162e-05,0.0001171180965360907,-2.0942836999889025e-05,0.0002597820945084081
iid997,mean_vs_sum,gnn,gnn_mean,J,10%,160,16,5,5,0.0007414433775314588,0.0018712827495454116,-0.0014548610236185255,0.002983550502297816
iid997,mean_vs_sum,gnn,gnn_mean,J,25%,160,40,5,5,0.00012116994181027296,0.0003410539926486565,-0.00021471827368557683,0.0006841029684679922
iid997,mean_vs_sum,gnn,gnn_mean,J,50%,160,80,5,5,-7.768486129743346e-05,7.366272136844684e-05,-0.00019295105516603517,0.0
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,264,26,5,5,0.0004328124225139618,0.00044637747870272543,1.4879382573641797e-05,0.0010185870700157584
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,264,66,5,5,-1.4001808383248826e-05,0.00015194846818215047,-0.00023321559031804634,0.0001948483739838483
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,264,132,5,5,0.0001157144028128998,0.00033751927739453783,-0.00019507843888166843,0.0005471910716909334
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,264,26,5,5,0.0001397172836825833,0.0010128547507709546,-0.0010743299081253377,0.0015976897011009683
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,264,66,5,5,0.00019043041703601383,0.0002985406690541218,-9.899654500944433e-05,0.0005424816570611113
lcro_9_15,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,264,132,5,5,8.612928893230176e-05,0.00013712156879938019,-8.463975173805816e-05,0.0002331435576909957
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,10%,264,26,5,5,-0.0005090003976455121,0.0004955886793368779,-0.0011697563414390308,0.00016108054954271783
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,25%,264,66,5,5,-1.1166162563094884e-06,2.41364791973631e-05,-3.6857119112304604e-05,3.127403783075716e-05
lcro_9_15,mean_vs_sum,gnn,gnn_mean,terminal,50%,264,132,5,5,3.430723692431636e-05,0.0001335484162797182,-0.00014152569752751143,0.00022261804251959283
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,10%,264,26,5,5,0.00046407710569790206,0.0010815397007025791,-0.001262971963017001,0.0015493700531525878
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,25%,264,66,5,5,4.563401218012908e-05,0.00030812175788775165,-0.00037430621203826675,0.0003570130259513693
lcro_9_15,mean_vs_sum,gnn,gnn_mean,J,50%,264,132,5,5,2.5158433450589435e-05,0.00017663587971452558,-0.00010429471731188134,0.0003325520995816622
loco_iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,158,15,5,5,-0.00011200676361719924,0.0014831091103633298,-0.0022499990959962204,0.001374908785025275
