protocol,model,endpoint,budget,N,k,actual_budget_fraction,defined_seeds,mean_L,display_percent_L,cell_text
iid997,fire_only,terminal,10%,160,16,0.1,5,0.9691415679609487,96.91415679609487,96.9
iid997,fire_only,terminal,25%,160,40,0.25,5,0.9806351397827757,98.06351397827757,98.1
iid997,fire_only,terminal,50%,160,80,0.5,5,0.9979957326641345,99.79957326641346,99.8
iid997,fire_only,J,10%,160,16,0.1,5,0.9669717967234073,96.69717967234072,96.7
iid997,fire_only,J,25%,160,40,0.25,5,0.9678052563865697,96.78052563865697,96.8
iid997,fire_only,J,50%,160,80,0.5,5,0.9966540397776,99.66540397776001,99.7
lcro_9_15,fire_only,terminal,10%,264,26,0.09848484848484848,5,0.9875560880747771,98.75560880747771,98.8
lcro_9_15,fire_only,terminal,25%,264,66,0.25,5,0.9989375639520354,99.89375639520354,99.9
lcro_9_15,fire_only,terminal,50%,264,132,0.5,5,0.9930623550987931,99.30623550987931,99.3
lcro_9_15,fire_only,J,10%,264,26,0.09848484848484848,5,0.9675741930987419,96.7574193098742,96.8
lcro_9_15,fire_only,J,25%,264,66,0.25,5,0.9905849246449485,99.05849246449485,99.1
lcro_9_15,fire_only,J,50%,264,132,0.5,5,0.9945917058821344,99.45917058821344,99.5
loco_iso834,fire_only,terminal,10%,158,15,0.0949367088607595,5,-5.316197479230511e-16,-5.316197479230511e-14,0
loco_iso834,fire_only,terminal,25%,158,39,0.2468354430379747,5,-1.5231974805253662e-15,-1.5231974805253662e-13,0
loco_iso834,fire_only,terminal,50%,158,79,0.5,5,0.0,0.0,0
loco_iso834,fire_only,J,10%,158,15,0.0949367088607595,5,-2.6793548041356368e-15,-2.6793548041356367e-13,0
loco_iso834,fire_only,J,25%,158,39,0.2468354430379747,5,-4.1119936734103886e-15,-4.111993673410389e-13,0
loco_iso834,fire_only,J,50%,158,79,0.5,5,-6.7484567644894246e-15,-6.748456764489425e-13,0
loco_astm_e119,fire_only,terminal,10%,95,9,0.09473684210526316,5,0.0,0.0,0
loco_astm_e119,fire_only,terminal,25%,95,23,0.24210526315789474,5,0.0,0.0,0
loco_astm_e119,fire_only,terminal,50%,95,47,0.49473684210526314,5,1.0671877134075532e-15,1.0671877134075532e-13,0
loco_astm_e119,fire_only,J,10%,95,9,0.09473684210526316,5,-1.1362438212580954e-14,-1.1362438212580954e-12,0
loco_astm_e119,fire_only,J,25%,95,23,0.24210526315789474,5,-4.041589751992102e-15,-4.041589751992102e-13,0
loco_astm_e119,fire_only,J,50%,95,47,0.49473684210526314,5,-1.2880685368451418e-14,-1.2880685368451417e-12,0
loco_perturbed_iso,fire_only,terminal,10%,111,11,0.0990990990990991,5,0.34356894751900624,34.356894751900626,34.4
loco_perturbed_iso,fire_only,terminal,25%,111,27,0.24324324324324326,5,0.26417189553255876,26.417189553255877,26.4
loco_perturbed_iso,fire_only,terminal,50%,111,55,0.4954954954954955,5,0.16660453747881343,16.66045374788134,16.7
loco_perturbed_iso,fire_only,J,10%,111,11,0.0990990990990991,5,0.06393446492344876,6.393446492344876,6.4
loco_perturbed_iso,fire_only,J,25%,111,27,0.24324324324324326,5,0.1704703874874593,17.04703874874593,17
loco_perturbed_iso,fire_only,J,50%,111,55,0.4954954954954955,5,0.17716856205413006,17.716856205413006,17.7
loco_plateau,fire_only,terminal,10%,103,10,0.0970873786407767,5,0.9872232188047285,98.72232188047285,98.7
loco_plateau,fire_only,terminal,25%,103,25,0.24271844660194175,5,0.980494114954236,98.0494114954236,98
loco_plateau,fire_only,terminal,50%,103,51,0.49514563106796117,5,0.9979861762131017,99.79861762131017,99.8
loco_plateau,fire_only,J,10%,103,10,0.0970873786407767,5,0.9801922856419278,98.01922856419279,98
loco_plateau,fire_only,J,25%,103,25,0.24271844660194175,5,0.9211909190412616,92.11909190412617,92.1
loco_plateau,fire_only,J,50%,103,51,0.49514563106796117,5,0.9893872368988976,98.93872368988977,98.9
loco_decay,fire_only,terminal,10%,113,11,0.09734513274336283,5,0.9016016126852465,90.16016126852465,90.2
loco_decay,fire_only,terminal,25%,113,28,0.24778761061946902,5,0.96234611808436,96.234611808436,96.2
loco_decay,fire_only,terminal,50%,113,56,0.49557522123893805,5,0.996754434678903,99.6754434678903,99.7
loco_decay,fire_only,J,10%,113,11,0.09734513274336283,5,0.7927743206673847,79.27743206673847,79.3
loco_decay,fire_only,J,25%,113,28,0.24778761061946902,5,0.8721889073138165,87.21889073138165,87.2
loco_decay,fire_only,J,50%,113,56,0.49557522123893805,5,0.984947036416019,98.4947036416019,98.5
loco_log_variant,fire_only,terminal,10%,69,6,0.08695652173913043,5,1.0,100.0,100
loco_log_variant,fire_only,terminal,25%,69,17,0.2463768115942029,5,0.9875412978390081,98.75412978390081,98.8
loco_log_variant,fire_only,terminal,50%,69,34,0.4927536231884058,5,0.9958767428054323,99.58767428054323,99.6
loco_log_variant,fire_only,J,10%,69,6,0.08695652173913043,5,0.9984867482823983,99.84867482823982,99.8
loco_log_variant,fire_only,J,25%,69,17,0.2463768115942029,5,0.9828763149960702,98.28763149960702,98.3
loco_log_variant,fire_only,J,50%,69,34,0.4927536231884058,5,0.9925833233586336,99.25833233586336,99.3
loco_external_fire,fire_only,terminal,10%,49,4,0.08163265306122448,5,0.0,0.0,0
loco_external_fire,fire_only,terminal,25%,49,12,0.24489795918367346,5,0.0,0.0,0
loco_external_fire,fire_only,terminal,50%,49,24,0.4897959183673469,5,0.0,0.0,0
loco_external_fire,fire_only,J,10%,49,4,0.08163265306122448,5,0.0,0.0,0
loco_external_fire,fire_only,J,25%,49,12,0.24489795918367346,5,2.9364028845882955e-15,2.9364028845882957e-13,0
loco_external_fire,fire_only,J,50%,49,24,0.4897959183673469,5,4.910351114456895e-15,4.910351114456894e-13,0
loco_bilinear,fire_only,terminal,10%,77,7,0.09090909090909091,5,0.9856880140579767,98.56880140579767,98.6
loco_bilinear,fire_only,terminal,25%,77,19,0.24675324675324675,5,0.9430742225660647,94.30742225660647,94.3
loco_bilinear,fire_only,terminal,50%,77,38,0.4935064935064935,5,0.9016775379556778,90.16775379556779,90.2
loco_bilinear,fire_only,J,10%,77,7,0.09090909090909091,5,0.9612059787139131,96.12059787139131,96.1
loco_bilinear,fire_only,J,25%,77,19,0.24675324675324675,5,0.964348715425016,96.4348715425016,96.4
loco_bilinear,fire_only,J,50%,77,38,0.4935064935064935,5,0.9212957857260623,92.12957857260623,92.1
loco_linear,fire_only,terminal,10%,125,12,0.096,5,0.9951508446874209,99.51508446874209,99.5
