protocol,model,seed,endpoint,budget,N,k,diagnostic_only,U,regret_raw,regret_display,improvement_over_random,oracle_improvement_fraction,cutoff_score,strictly_selected_count,cutoff_tied_count,selected_from_cutoff_tie
iid997,fire_only,42,terminal,10%,160,16,True,0.042363193177152425,0.006091661052778363,0.006091661052778363,0.20811654333374463,0.9715619620162335,0.054059963673353195,14,6,2
iid997,fire_only,42,terminal,25%,160,40,True,0.04942774581257254,0.003445223551243541,0.003445223551243541,0.20105199069832452,0.9831527115717136,0.055005043745040894,23,25,17
iid997,fire_only,42,terminal,50%,160,80,True,0.05806503788335249,0.0003144670045003295,0.0003144670045003295,0.19241469862754457,0.9983683476059835,0.11606775969266891,77,4,3
iid997,fire_only,42,J,10%,160,16,True,0.3370445355842093,0.006474392376063953,0.006474392376063953,0.17335054344865064,0.96399613687406,0.3572365423664451,15,1,1
iid997,fire_only,42,J,25%,160,40,True,0.3509942218217397,0.005302585097371304,0.005302585097371304,0.15940085721112024,0.9678052563865697,0.36058714215954146,32,25,8
iid997,fire_only,42,J,50%,160,80,True,0.35868192329947,0.0005093303835019269,0.0005093303835019269,0.15171315573338995,0.9966540397776001,0.37249699228753647,79,1,1
iid997,fire_only,43,terminal,10%,160,16,True,0.04205593006918207,0.005784397944808006,0.005784397944808006,0.208423806441715,0.9729963753658544,0.05531851202249527,15,1,1
iid997,fire_only,43,terminal,25%,160,40,True,0.04913773799780756,0.0031552157364785616,0.0031552157364785616,0.20134199851308948,0.9845708620136606,0.056897107511758804,25,25,15
iid997,fire_only,43,terminal,50%,160,80,True,0.05806503788335249,0.0003144670045003295,0.0003144670045003295,0.19241469862754457,0.9983683476059835,0.12240802496671677,77,4,3
iid997,fire_only,43,J,10%,160,16,True,0.33570679098059675,0.005136647772451375,0.005136647772451375,0.17468828805226322,0.9714352864974279,0.358716745985051,15,4,1
iid997,fire_only,43,J,25%,160,40,True,0.3509942218217397,0.005302585097371304,0.005302585097371304,0.15940085721112024,0.9678052563865697,0.36170998280867933,32,25,8
iid997,fire_only,43,J,50%,160,80,True,0.35868192329947,0.0005093303835019269,0.0005093303835019269,0.15171315573338995,0.9966540397776001,0.37169875962038834,79,1,1
iid997,fire_only,44,terminal,10%,160,16,True,0.043385402637068186,0.007113870512694125,0.007113870512694125,0.20709433387382886,0.966789925096157,0.054039210081100464,14,25,2
iid997,fire_only,44,terminal,25%,160,40,True,0.05059173826593906,0.004609216004610062,0.004609216004610062,0.199887998244958,0.977460739396748,0.05465393140912056,39,1,1
iid997,fire_only,44,terminal,50%,160,80,True,0.05806503788335249,0.0003144670045003295,0.0003144670045003295,0.19241469862754457,0.9983683476059835,0.11585104465484619,77,4,3
iid997,fire_only,44,J,10%,160,16,True,0.33570679098059675,0.005136647772451375,0.005136647772451375,0.17468828805226322,0.9714352864974279,0.35611068370441595,15,4,1
iid997,fire_only,44,J,25%,160,40,True,0.3509942218217397,0.005302585097371304,0.005302585097371304,0.15940085721112024,0.9678052563865697,0.35935717411339285,32,25,8
iid997,fire_only,44,J,50%,160,80,True,0.35868192329947,0.0005093303835019269,0.0005093303835019269,0.15171315573338995,0.9966540397776001,0.3704887170344591,79,1,1
iid997,fire_only,45,terminal,10%,160,16,True,0.043937450612429534,0.007665918488055472,0.007665918488055472,0.20654228589846751,0.9642127690206352,0.05880723148584366,14,25,2
iid997,fire_only,45,terminal,25%,160,40,True,0.05050331505481154,0.004520792793482539,0.004520792793482539,0.19997642145608552,0.9778931326273942,0.05889633670449257,39,1,1
iid997,fire_only,45,terminal,50%,160,80,True,0.05842410671757534,0.0006735358387231841,0.0006735358387231841,0.19205562979332172,0.9965052728967391,0.1160832941532135,76,4,4
iid997,fire_only,45,J,10%,160,16,True,0.3370445355842093,0.006474392376063953,0.006474392376063953,0.17335054344865064,0.96399613687406,0.35909932578603426,15,1,1
iid997,fire_only,45,J,25%,160,40,True,0.3509942218217397,0.005302585097371304,0.005302585097371304,0.15940085721112024,0.9678052563865697,0.3619031962007284,32,25,8
iid997,fire_only,45,J,50%,160,80,True,0.35868192329947,0.0005093303835019269,0.0005093303835019269,0.15171315573338995,0.9966540397776001,0.37212320156395434,79,1,1
iid997,fire_only,46,terminal,10%,160,16,True,0.04266633071238175,0.006394798588007691,0.006394798588007691,0.20781340579851532,0.9701468083058633,0.05358874425292015,13,25,3
