protocol,model,seed,stratum,group,case_count,geometry_count,equal_case_MAE,equal_case_RMSE,mean_case_RMSE,R2_pooled,maximum_positive_error,maximum_absolute_error,case_time_positive_error_q95,case_time_positive_error_q99,per_case_MAE_q50,per_case_MAE_q90,per_case_MAE_q95,per_case_MAE_q99,per_case_max_positive_error_q50,per_case_max_positive_error_q90,per_case_max_positive_error_q95,per_case_max_positive_error_q99
iid997,fire_only,42,fire_family,astm_e119,15,15,0.012409271084057177,0.015565272566485815,0.015182127088227552,0.9963568884510386,0.04583466053009033,0.059888601303100586,0.02119516730308531,0.03318519473075867,0.011050248793402656,0.016299119713853616,0.017282795307577634,0.017706472284969736,0.02717745304107666,0.03869591951370239,0.0433998167514801,0.04534769177436829
iid997,fire_only,42,fire_family,bilinear,13,13,0.01390414144773351,0.018473249284199172,0.017656226465755206,0.9941649978698097,0.061287760734558105,0.061287760734558105,0.02405422925949096,0.03683344125747682,0.012324988842010498,0.018243104903424373,0.022932067660034666,0.028336515856570873,0.034631043672561646,0.05956491231918335,0.06055684089660644,0.06114157676696777
iid997,fire_only,42,fire_family,decay,18,18,0.013171068672599687,0.01869419541431644,0.016467663012867912,0.9935181763598839,0.07851868867874146,0.0818132758140564,0.02932222485542295,0.05745310485363006,0.010773149548006839,0.019217152600405647,0.0244881238971577,0.039883420152253754,0.027576804161071777,0.031527549028396606,0.03998363912105554,0.0708116787672042
iid997,fire_only,42,fire_family,external_fire,8,8,0.012056138244320135,0.016429506867200034,0.01563144456454793,0.9935720067171008,0.040689945220947266,0.08335328102111816,0.022144584357738487,0.035378839969635006,0.010425828275133352,0.019592586061993583,0.02017949763380113,0.020649026891247167,0.023407436907291412,0.03900236487388611,0.03984615504741668,0.04052118718624115
iid997,fire_only,42,fire_family,iso834,25,25,0.012817621954151844,0.016597690438871857,0.015612784710744381,0.9958892124692718,0.048749834299087524,0.07853060960769653,0.027871775627136223,0.0411934757232666,0.01423308118933537,0.017704275372575542,0.018164041467377396,0.026363457233690803,0.028184175491333008,0.04069586992263794,0.04501383304595946,0.04809310793876648
iid997,fire_only,42,fire_family,linear,20,20,0.01040932375510208,0.015145638558725161,0.014231971930127676,0.9961506113989489,0.07417559623718262,0.07417559623718262,0.024554789066314697,0.04496265083551406,0.009618025334154973,0.014072481139761507,0.016647669013406415,0.02078564555430021,0.02416592836380005,0.04220758080482483,0.046456870436668414,0.06863185107707974
iid997,fire_only,42,fire_family,log_variant,11,11,0.01508222915139882,0.02026141394405301,0.018882369634045312,0.9941543252578752,0.09506595134735107,0.09506595134735107,0.02557848859578371,0.03376010060310363,0.013919836490369234,0.02591106491010697,0.026854875634928218,0.02760992421478522,0.024607551284134388,0.05110293626785278,0.07308444380760193,0.09066964983940126
iid997,fire_only,42,fire_family,perturbed_iso,18,18,0.011786975220985752,0.015743642083856722,0.015333895487771528,0.9962376056744449,0.07619887590408325,0.07619887590408325,0.02328866273164748,0.04618397533893584,0.010938241070166964,0.01604668225054858,0.016800982001252837,0.01741841194998534,0.0455990731716156,0.07032018899917603,0.07599150836467743,0.07615740239620208
iid997,fire_only,42,fire_family,plateau,16,16,0.011004557523906965,0.014372963589198455,0.01393734184576304,0.9966970276863847,0.0632014274597168,0.06964021921157837,0.02206745743751526,0.033511485904455185,0.010243548446747124,0.015555039719968546,0.017014358345358097,0.017801434186394096,0.03045862913131714,0.045762091875076294,0.0515238493680954,0.06086591184139251
iid997,fire_only,42,fire_family,smoldering,16,16,0.002715874341179113,0.002795526095395853,0.0027839910072190947,-2.022613226327845,0.0039757490158081055,0.010611891746520996,0.0,0.0,0.002666938500326188,0.002912272683909682,0.0030491371623805313,0.0030999015589229396,0.0,0.0,0.0009939372539520264,0.003379386663436888
iid997,fire_only,42,crack_count,1,13,13,0.012896377461742782,0.01796688639271448,0.015809308100788372,0.9970479214012268,0.045405030250549316,0.06658816337585449,0.00942152738571167,0.02333070278167738,0.014630823472484213,0.017764467110887906,0.02180690946149043,0.02660033098009765,0.017365694046020508,0.0404420018196106,0.04351271390914917,0.045026566982269284
iid997,fire_only,42,crack_count,10,9,9,0.01078363331391023,0.015146211367593579,0.01436674818905285,0.9976897927304568,0.06006956100463867,0.07618141174316406,0.0270610570907593,0.03678307771682739,0.009756689677472974,0.015415166819193325,0.015484456931714153,0.015539889021730815,0.029042601585388184,0.04553194046020508,0.05280075073242187,0.05861579895019531
iid997,fire_only,42,crack_count,11,10,10,0.010845028431933433,0.014822788055778283,0.01424930438228988,0.9969961782543101,0.05110293626785278,0.07811099290847778,0.02560332715511321,0.03493976473808286,0.009059616166060089,0.015057943346070458,0.01791217627583956,0.02019556261965486,0.029953137040138245,0.041731244325637816,0.04641709029674529,0.05016576707363129
iid997,fire_only,42,crack_count,12,3,3,0.016120766661043378,0.021789356937543688,0.020116412801041223,0.9956419807935606,0.048749834299087524,0.05574822425842285,0.04471921622753143,0.04854571282863617,0.009967153189612216,0.025129063354163875,0.02702430212473283,0.028540493141187995,0.024764418601989746,0.04395275115966797,0.04635129272937774,0.048270125985145566
iid997,fire_only,42,crack_count,13,4,4,0.01364018853570594,0.01738235107205833,0.01713000247500467,0.996863396669545,0.05754631757736206,0.05754631757736206,0.033523076772689814,0.04444089472293851,0.013399204208714063,0.0169696249922768,0.017356531554069674,0.017666056803503975,0.04418489336967468,0.054086464643478396,0.05581639111042022,0.05720033228397369
iid997,fire_only,42,crack_count,14,5,5,0.010778965666645863,0.01520337266211184,0.013887686929786477,0.9976632231597099,0.061287760734558105,0.06279677152633667,0.022841817140579233,0.04208894252777085,0.011637635406900625,0.014755255765602238,0.015565344740132816,0.01621341591975728,0.044997990131378174,0.059405064582824706,0.0603464126586914,0.061099491119384765
iid997,fire_only,42,crack_count,15,3,3,0.013918161046146696,0.022237034826835127,0.01891563211843857,0.9955300552243808,0.07417559623718262,0.07853060960769653,0.05271450877189638,0.07111150979995728,0.01690635811842856,0.020837383375304646,0.021328761532414156,0.021721864058101763,0.04021677374839783,0.06738383173942566,0.07077971398830414,0.07349641978740692
iid997,fire_only,42,crack_count,2,17,17,0.012253491597729687,0.016422879429315206,0.015292979959303144,0.997126887164936,0.045793116092681885,0.06417244672775269,0.015735435485839826,0.03212299108505252,0.011973548619473567,0.01795275978377608,0.018949302591261315,0.020663542649785028,0.024935364723205566,0.04101272821426392,0.04197083711624145,0.045028660297393795
iid997,fire_only,42,crack_count,3,21,21,0.011203946547174156,0.015018135404017356,0.014011764327975032,0.9977215632857073,0.04763132333755493,0.060694754123687744,0.01651400327682495,0.03134311437606812,0.010383882972060656,0.017055825498260437,0.017998203146653097,0.018871255829686025,0.02356743812561035,0.03827911615371704,0.039762139320373535,0.04605748653411866
