protocol,contrast,metric,baseline,candidate,effect,ci95_low,ci95_high,status,paired_seed_count,valid_bootstrap,bootstrap_repetitions,effect_direction
loco_decay,graph_vs_capacity_matched,final_MAE,capacity_matched_deepsets,gnn,-0.0008923290313872616,-0.010446732176088653,0.0076633719015306015,ESTIMATED,5,1000,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_decay,graph_vs_capacity_matched,final_bias,capacity_matched_deepsets,gnn,-0.0030425448069530247,-0.009752828555626678,0.004321997919968797,ESTIMATED,5,1000,1000,Neither sign of a signed-bias change is automatically better
loco_decay,graph_vs_capacity_matched,time_average_MAE,capacity_matched_deepsets,gnn,-0.00041520669880518515,-0.001968799267373537,0.0011791049381278365,ESTIMATED,5,1000,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_decay,graph_vs_capacity_matched,time_average_bias,capacity_matched_deepsets,gnn,-0.0012664250708610979,-0.004774153578806673,0.0024861313525840027,ESTIMATED,5,1000,1000,Neither sign of a signed-bias change is automatically better
loco_decay,graph_vs_capacity_matched,q0.8_recall,capacity_matched_deepsets,gnn,0.0,0.0,0.0,ESTIMATED,5,1000,1000,Positive baseline-minus-candidate effect favors baseline for this higher-is-better metric
loco_decay,graph_vs_capacity_matched,q0.8_false_positive_rate,capacity_matched_deepsets,gnn,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_decay,graph_vs_capacity_matched,q0.8_balanced_accuracy,capacity_matched_deepsets,gnn,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000,Positive baseline-minus-candidate effect favors baseline for this higher-is-better metric
loco_decay,graph_vs_capacity_matched,q0.8_conditional_timing_MAE_s,capacity_matched_deepsets,gnn,-0.8495575221238933,-3.504424778761063,1.486725663716813,ESTIMATED,5,1000,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_decay,graph_vs_capacity_matched,q0.8_conditional_timing_median_abs_s,capacity_matched_deepsets,gnn,0.0,0.0,0.0,ESTIMATED,5,1000,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_decay,graph_vs_capacity_matched,q0.8_conditional_timing_bias_s,capacity_matched_deepsets,gnn,0.8495575221238942,-2.442477876106194,4.353982300884955,ESTIMATED,5,1000,1000,Neither sign of a signed-bias change is automatically better
loco_decay,graph_vs_capacity_matched,q0.6_recall,capacity_matched_deepsets,gnn,0.0,0.0,0.0,ESTIMATED,5,1000,1000,Positive baseline-minus-candidate effect favors baseline for this higher-is-better metric
loco_decay,graph_vs_capacity_matched,q0.6_false_positive_rate,capacity_matched_deepsets,gnn,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_decay,graph_vs_capacity_matched,q0.6_balanced_accuracy,capacity_matched_deepsets,gnn,,,,NOT_ESTIMABLE_ON_ALL_PAIRED_SEEDS,5,0,1000,Positive baseline-minus-candidate effect favors baseline for this higher-is-better metric
