protocol,contrast,metric,baseline,candidate,effect,ci95_low,ci95_high,status,paired_seed_count,valid_bootstrap,bootstrap_repetitions,effect_direction
loco_smoldering,graph_vs_capacity_matched,final_MAE,capacity_matched_deepsets,gnn,-0.0015275697118228293,-0.024120394811802302,0.02136518397896559,ESTIMATED,5,1000,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_smoldering,graph_vs_capacity_matched,final_bias,capacity_matched_deepsets,gnn,0.0015275697118228293,-0.02136518397896559,0.02412039481180229,ESTIMATED,5,1000,1000,Neither sign of a signed-bias change is automatically better
loco_smoldering,graph_vs_capacity_matched,time_average_MAE,capacity_matched_deepsets,gnn,0.0005180593802756872,-0.002641491460636312,0.003648987271224507,ESTIMATED,5,1000,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_smoldering,graph_vs_capacity_matched,time_average_bias,capacity_matched_deepsets,gnn,-0.0005180593802756872,-0.0036489872712245075,0.0026414914606363114,ESTIMATED,5,1000,1000,Neither sign of a signed-bias change is automatically better
loco_smoldering,graph_vs_capacity_matched,q0.8_recall,capacity_matched_deepsets,gnn,0.0,0.0,0.0,ESTIMATED,5,617,1000,Positive baseline-minus-candidate effect favors baseline for this higher-is-better metric
loco_smoldering,graph_vs_capacity_matched,q0.8_false_positive_rate,capacity_matched_deepsets,gnn,-0.008333333333333331,-0.09263537710255025,0.07789473684210524,ESTIMATED,5,1000,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_smoldering,graph_vs_capacity_matched,q0.8_balanced_accuracy,capacity_matched_deepsets,gnn,0.004166666666666652,-0.03878508771929814,0.04791666666666661,ESTIMATED,5,617,1000,Positive baseline-minus-candidate effect favors baseline for this higher-is-better metric
loco_smoldering,graph_vs_capacity_matched,q0.8_conditional_timing_MAE_s,capacity_matched_deepsets,gnn,-24.0,-180.0,151.20000000000027,ESTIMATED,5,617,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_smoldering,graph_vs_capacity_matched,q0.8_conditional_timing_median_abs_s,capacity_matched_deepsets,gnn,-24.0,-180.0,151.20000000000027,ESTIMATED,5,617,1000,Positive baseline-minus-candidate effect favors candidate for this lower-is-better metric
loco_smoldering,graph_vs_capacity_matched,q0.8_conditional_timing_bias_s,capacity_matched_deepsets,gnn,24.0,-151.2,180.0,ESTIMATED,5,617,1000,Neither sign of a signed-bias change is automatically better
