sample_id,protocol,geometry_id,fire_family,source_batch,crack_count,flat_response,restored,mean_case_MAE,mean_positive_peak
b004_0000,loco_iso834,56c4493a91640adf99623b245b8573d97dbf21ca915831bdf723bb6b9546a2bb,iso834,batch_004,4,False,False,0.01251529357472404,0.027957218885421752
b004_0001,loco_iso834,7c000b5ecc7160e74be209f6bc1ef23dc70dd7cdb1117ae74ebb148b65a62450,iso834,batch_004,4,False,False,0.007684425008101542,0.020342716574668886
b004_0002,loco_iso834,a4c6669c5d3f2e508b42056aab254b5e5385cf2c0e388b32d2d475c826e76d48,iso834,batch_004,7,False,False,0.006880197112188964,0.043631553649902344
b004_0003,loco_iso834,7d3105c20983c15793e025b67d4dd5828c2f275a23af27f3fa0475331af5bc36,iso834,batch_004,4,False,False,0.009051985965400447,0.028445255756378175
b004_0004,loco_iso834,a9c061605d2813f1a123fb90a6595dd10abc8998ff009e20c4aaa52567023ff1,iso834,batch_004,5,False,False,0.008987765661517128,0.02840878963470459
b004_0005,loco_iso834,4af01899b774ff9a439f2d8e885f8bc8313c0e92a8b73b4c5f11281ff605e459,iso834,batch_004,6,False,False,0.01410885715826613,0.020746052265167236
b004_0006,loco_iso834,2924d0a2874ea770ebac7588514ed0db2a93565dbcbaafeea9be21eeb43a2e4e,iso834,batch_004,3,False,False,0.008896364833487838,0.012047302722930909
b004_0007,loco_iso834,bb140ef7812be1ae35c6e7e2ec9a7e53a6f8e3d0587128ac3935e40a17b6548a,iso834,batch_004,4,False,False,0.007959556176525648,0.02722189426422119
b004_0008,loco_iso834,f278aa1d301f2632a948b6e54e3531ee908d4274265a0b03fe0f0b3a857efae2,iso834,batch_004,3,False,False,0.00578950940341246,0.01572248637676239
b004_0009,loco_iso834,d8c505e732a84cdc9edf5dda2d3cb4270ccd2ac8a2c96a27b487dd643244bed6,iso834,batch_004,8,False,False,0.0075735237144055915,0.03914047479629516
b004_0010,loco_iso834,d694d56216a7b97e58e6ac2830f3318ee7d77bc0c71efc96da88d1c46eee5f73,iso834,batch_004,5,False,False,0.006066238733588672,0.01821092367172241
b004_0011,loco_iso834,3226dada4bc9d916323bdba5e97d196ea3f119de8bcf2f7db4176364a0dd63a8,iso834,batch_004,7,False,False,0.011621175840741299,0.04842979907989502
