protocol,model,seed,sample_id,geometry_id,fire_family,crack_count,source_batch,legacy_final_id,flat_response,MAE,RMSE,maximum_overprediction
loco_decay,fire_only,42,b004_0121,30a102272a3396c9abbd3d36718e76aab52a043782d7d6c1532a31dff6e1428c,decay,6,batch_004,sample_0112,False,0.005795759255768823,0.0071396586780635655,0.01652127504348755
loco_decay,fire_only,42,b004_0126,61da8ab883e7cfa91098414b7b0b43fd2716036442ee03b0d82244019564a380,decay,7,batch_004,sample_0116,False,0.017017422518769247,0.019521289359457388,0.039128243923187256
loco_decay,fire_only,42,b004_0148,101170f672ceb19198d9407cdeda56220d64f856fdbd8a678e89dd06de8b038e,decay,4,batch_004,sample_0132,False,0.011275216082080465,0.013850760815106085,0.03033345937728882
loco_decay,fire_only,42,b004_0156,291c9d9acf36a52ad07c9b9ca50c6d77b619535b7770ee020a4e66bbf3b0b9db,decay,7,batch_004,sample_0138,False,0.006228491419651469,0.008902705850048306,0.031482040882110596
loco_decay,fire_only,42,b004_0177,63d17ae153e7898ce798f59ce43f29f7f51e3dc23ed00b74fdcfa27a86f982e4,decay,2,batch_004,sample_0153,False,0.019193460340382624,0.022516191238368802,0.009298324584960938
loco_decay,fire_only,42,b004_0179,b35f549571b49f732e7280520e29dc605b1c665bad5fa4a4a2e42b70c9c90250,decay,5,batch_004,sample_0154,False,0.012587285921221873,0.01404356259937566,0.02054530382156372
loco_decay,fire_only,42,b004_0180,5848272dc5b6f5966215ae66dde63fac833562f6e8da07a59e083ab7f935eb77,decay,3,batch_004,sample_0155,False,0.010950930660865346,0.01467254384086261,0.05265873670578003
loco_decay,fire_only,42,b004_0182,fc45471f0e17137351abe0b802637e7b5c2ba7df508ac4e8c7ea92665785bb68,decay,1,batch_004,sample_0157,False,0.014767976080785032,0.01738201802964459,0.013855576515197754
loco_decay,fire_only,42,b004_0183,378b7b0bd60b52352d9b3c53069cffc33fa90cd2e76b9a6840a5d498c6f5871a,decay,3,batch_004,sample_0158,False,0.00808099095450073,0.01094072266225116,0.0419543981552124
loco_decay,fire_only,42,b004_0186,a29983c7f78e308b30aac78cbd69f279ad4a1df6841ac1575173db27c7392c22,decay,8,batch_004,sample_0160,False,0.010244579466639972,0.013265665574860398,0.03806501626968384
loco_decay,fire_only,42,b004_0191,e9502ed606e64f72d2fb4a0aa3f8663db4f86831fb19ebdc53d7d5f33c23ffd9,decay,5,batch_004,sample_0165,False,0.010059098117664212,0.012389164216118654,0.029718607664108276
loco_decay,fire_only,42,b004_0210,3d3a6ab69f79a2659fa06a42d53a1c5d2a8174c53d3d6daeb381a53ad9cc557f,decay,4,batch_004,sample_0179,False,0.011302328012028679,0.013901851641001947,0.029461145401000977
loco_decay,fire_only,42,b004_0213,3f812ad4f3820bf20239792631745f7690fae631ac7d3e914d12229dc5c9d7d5,decay,8,batch_004,sample_0180,False,0.01058804634653154,0.014553881678997684,0.032729506492614746
loco_decay,fire_only,42,b004_0215,f91b3f9c8bcf6d125d533a526fc1a51f7e3f98fbda97e08ff6774775166ec40b,decay,2,batch_004,sample_0181,False,0.01689740172663673,0.02063199307181665,0.023839950561523438
loco_decay,fire_only,42,b004_0217,66357ba7bd60440243e0daea7860989f9e4ec1986cbc2398115f0422d37c6621,decay,2,batch_004,sample_0182,False,0.011920113543995092,0.014479400670392361,0.025329113006591797
loco_decay,fire_only,42,b004_0218,9a0b734cf84f061f8501ecea675c2ac08a6a5e347766711f6bdafd630bcc5e15,decay,2,batch_004,sample_0183,False,0.014540840856364517,0.017755926140398667,0.018505513668060303
loco_decay,fire_only,42,b004_0219,2d5ceb99c115af2608911c8080fa318db8646866e22df6454bb909eb1437cf43,decay,7,batch_004,sample_0184,False,0.02207333985410753,0.025416522083685625,0.04441869258880615
loco_decay,fire_only,42,b004_0220,bfb61d2b641adb708cba87688728dc5266d29f2190761027adcaaf23934e0e8e,decay,7,batch_004,sample_0185,False,0.011320592438588377,0.012885108236838425,0.029644250869750977
loco_decay,fire_only,42,b004_0224,6f1fa828f68e6b92735f6d21f47404586c7fbd13996c6d582f64470d3cf2b167,decay,6,batch_004,sample_0188,False,0.01109296230019116,0.012943701778171838,0.025507748126983643
loco_decay,fire_only,42,b004_0227,7ad4917ba9636bcf89f650076432771d3df7039c9bf68144eb699cd150f4aa4c,decay,1,batch_004,sample_0191,False,0.016583571790671738,0.019962093604069076,0.015584588050842285
loco_decay,fire_only,42,b004_0241,95c1e320468969438799b0e31311a9a4d1eae082675978a0a94c7acbea69dd5c,decay,2,batch_004,sample_0203,False,0.018524435822103846,0.021738224005071135,0.024847209453582764
loco_decay,fire_only,42,b004_0242,f4eb8ad8617aba5bdf6ccfe1f96bdfce5ee1b4a07ac2674ef1580c84aa118140,decay,6,batch_004,sample_0204,False,0.010957117940558762,0.01241146509264155,0.017345070838928223
loco_decay,fire_only,42,b004_0268,128fddd5ab63f0b4d9d07f28e755e02223759ae3d0bd18396ae81b551e51e69e,decay,6,batch_004,sample_0224,False,0.010650985553616384,0.012089485650065778,0.024896323680877686
loco_decay,fire_only,42,b004_0272,d6c663316c4caded542ccabde3e270020acaab3865435997a9828753e0e9d676,decay,3,batch_004,sample_0227,False,0.014403594444032575,0.01755926178645438,0.00855100154876709
loco_decay,fire_only,42,b004_0279,7f2798156211f043c732f81528f597ccc18b90b3151bb9e42b308144d8fe7bdb,decay,7,batch_004,sample_0234,False,0.006824000937039735,0.00994357271148803,0.02768605947494507
loco_decay,fire_only,42,b004_0283,7245f11cf1a3db6f0563ab53ff16ef4cb236ddfb850a21c59c8a445173ef20fe,decay,6,batch_004,sample_0237,False,0.01234583532223936,0.013815755899491357,0.016472697257995605
loco_decay,fire_only,42,b004_0287,8cff7a576da5cbe47cb582bf1fe9c9ec41fe54df8ee2180c033a2203e63e2ee5,decay,5,batch_004,sample_0241,False,0.011285497150460228,0.012964112582475066,0.015893399715423584
loco_decay,fire_only,42,b004_0288,895f03782bf5067b0f7af9727a87554203990d13705c61c00cea5e9d19b76f67,decay,4,batch_004,sample_0242,False,0.019608407235536418,0.021569929230239353,0.028621256351470947
loco_decay,fire_only,42,b004_0294,a86372efe31bef78027998c6564a1cd9ca9d1d31b7fb63dd6750ae10e7f4ba3d,decay,4,batch_004,sample_0246,False,0.009164438140196879,0.01139429077808093,0.030199289321899414
loco_decay,fire_only,42,b004_0304,b5cbbc20a7616faf9a5939afad1e875f21d9eec9a639a33502f0744f0ff18b61,decay,1,batch_004,sample_0255,False,0.015250068707544296,0.017611985705315525,0.018394052982330322
loco_decay,fire_only,42,b004_0314,96de7e849c6e997734d18c8e928b7dca710c5e6583e86ff298a5e641236a8280,decay,4,batch_004,sample_0263,False,0.02026726537552036,0.023296777781810656,0.019015491008758545
loco_decay,fire_only,42,b004_0321,ec795731311f6e65bf047ffc05fce4ae42bb0e6fce66d0b2c499ac178bb5bd32,decay,1,batch_004,sample_0269,False,0.007465696237126335,0.011289817032819227,0.021961867809295654
loco_decay,fire_only,42,b004_0322,690633118dd511249e7ef30433922599ef0416d491d04dc0d4d0d4e165b4d702,decay,3,batch_004,sample_0270,False,0.015649113010187617,0.018901759319803917,0.022821903228759766
loco_decay,fire_only,42,b004_0325,d1405240684a931097f53c86ab8c505c25fb365a36e72120b0c50dcdae08fd8c,decay,8,batch_004,sample_0271,False,0.010424701649634565,0.013040814641234029,0.03191828727722168
loco_decay,fire_only,42,b004_0326,d300d43a58f195c1b34320d188d7cb20eba24b0b576bf6439575bfe91019daa1,decay,6,batch_004,sample_0272,False,0.00646699244370226,0.008584264627015732,0.027839958667755127
loco_decay,fire_only,42,b004_0346,9f8e31196d54b29857e91fdab0eef61e9a24a4da1ceaccd3ca2b4dd0f7d6f485,decay,4,batch_004,sample_0288,False,0.00821930585337467,0.010129356992008528,0.01944705843925476
loco_decay,fire_only,42,b004_0347,47385c77d7bfa6f2c4828ab53640e0363aa16aec0d5c4f823f92b641f215c478,decay,6,batch_004,sample_0289,False,0.006746521250146334,0.00860220494372434,0.02673017978668213
loco_decay,fire_only,42,b004_0349,8f9374fff26d0593a9f05186efb5835e9f37d3bf6cc53fa9b152066c7127d0f7,decay,8,batch_004,sample_0291,False,0.007293593565948674,0.009437234512702973,0.026825308799743652
loco_decay,fire_only,42,b004_0358,6cc6ba80551241b528f1e948b554c1e7404c051f6a775112c9e17f7882fba545,decay,1,batch_004,sample_0298,False,0.008296196089416254,0.009944491905308389,0.020334571599960327
loco_decay,fire_only,42,b004_0362,bab159a4955746217fcb62af18cd1001a58c5224e538c89707fff60cfb1892d1,decay,8,batch_004,sample_0301,False,0.00923677778146306,0.013419787745975697,0.05088341236114502
loco_decay,fire_only,42,b004_0366,993d57e6515488040446a288ac166f3717225826f8907e6bce87a17227acf595,decay,5,batch_004,sample_0303,False,0.005935440297986641,0.008214003296086772,0.023251891136169434
loco_decay,fire_only,42,b004_0371,cd2a9bc2ee5cf16219e908293ef5e08aa6e63ca2079958cbe0dc46fdd6a6414d,decay,7,batch_004,sample_0308,False,0.011304676410604696,0.013809360380997122,0.03306785225868225
loco_decay,fire_only,42,b004_0373,4956921c237c5b489848164db44a8447a9bb094a196e282643961469c43aedf1,decay,4,batch_004,sample_0309,False,0.019432687368549285,0.020736908752826976,0.007609069347381592
loco_decay,fire_only,42,b004_0381,b2cb03b83c818e001935e972727f8577b12b02770486bcd79bbbda365a52c8d0,decay,8,batch_004,sample_0316,False,0.014760455513586764,0.018185842063655297,0.041306257247924805
loco_decay,fire_only,42,b004_0390,77931b22aced13cdf5d2634e93e4e636933c6fbe25916f5ba789de08ef1ddf7c,decay,2,batch_004,sample_0323,False,0.007963657012728394,0.01015893323478222,0.016249865293502808
loco_decay,fire_only,42,b004_0397,80ece4b4053c7c74da3352f869fd5975db8c580a7e6ad87a68125deb5e55bb73,decay,1,batch_004,sample_0327,False,0.012063821808236544,0.014705089326994584,0.013475120067596436
loco_decay,fire_only,42,b005_0399,29af939dcb2d879036daa6c3a62b2f743f433abb26c647eec7e19926f25e3a14,decay,13,batch_005,sample_0646,False,0.018181886340751022,0.02114026801268847,0.04029698669910431
loco_decay,fire_only,42,b005_0400,2220e917bb2760af8ccfdb83ce70b1dd84cf1e300fe879b2e0a9ac83f0c5ae94,decay,9,batch_005,sample_0647,False,0.017732224503501516,0.02262443851799136,0.04741626977920532
loco_decay,fire_only,42,b005_0401,97505708c1378afa896405aa18d250a1bc5b4bec50b1dd066a8e0b228ba461f1,decay,12,batch_005,sample_0648,False,0.013163877925911888,0.016474945208484894,0.02724616229534149
loco_decay,fire_only,42,b005_0402,17e7b5f44e118cd671356d977ac982ee3340104068231521dbd0e05bd08d9d55,decay,9,batch_005,sample_0649,False,0.012628730203284592,0.01597055252677689,0.027347803115844727
loco_decay,fire_only,42,b005_0404,ce3253f7dc252f4af60bff6bbdff8f1ea834ff4522a95ac8cf44fd749ee94620,decay,4,batch_005,sample_0650,False,0.011937930935718974,0.014137815497565105,0.01988065242767334
loco_decay,fire_only,42,b005_0405,3381dfdea25eaecd96c52019d88831b1a55b65b423522994dc8dc71c023340df,decay,11,batch_005,sample_0651,False,0.00817179826439404,0.011526054428283736,0.0250958651304245
loco_decay,fire_only,42,b005_0406,c81898ce705c4adf3646b0d4b230c74c7a381a34389f3127244178791a67723b,decay,9,batch_005,sample_0652,False,0.014218941086628398,0.015920978383412932,0.024186789989471436
loco_decay,fire_only,42,b005_0408,85cbbf4da64ccfe806ffe79a6dee657abbb786ffb97266d70612143fd2185df0,decay,14,batch_005,sample_0653,False,0.0409928237805601,0.04312159027559442,0.06887602806091309
loco_decay,fire_only,42,b005_0409,5b4c78e07f71707909bd809d9b72d4681e1d8baa3969b80a005aacf160f06c55,decay,2,batch_005,sample_0654,False,0.01710610360395713,0.02021811219669425,0.028144419193267822
loco_decay,fire_only,42,b005_0410,d17f4480762c9413a82e86fcae1408a69a708b23716b0a3c3abc790a2cf75f88,decay,11,batch_005,sample_0655,False,0.01774323939299974,0.02243080949838877,0.036117494106292725
loco_decay,fire_only,42,b005_0411,d6154c1437fa38a5bc225122d9f1e75f4a73d787c8c3d3c0af8e3421400bf707,decay,9,batch_005,sample_0656,False,0.02097398922091625,0.024511233032277483,0.04671609401702881
loco_decay,fire_only,42,b005_0412,d2b1d19d9d08d5149496ea1502e3e4e27738fb1a6016caa1a534c60fc8ec90d9,decay,12,batch_005,sample_0657,False,0.012194459067016352,0.01882487323581032,0.04000037908554077
loco_decay,fire_only,42,b005_0413,f478ee4902a94dc6260c097a05a9680eef2cca45e102948cfc3e6160fe5bc972,decay,9,batch_005,sample_0658,False,0.01133556138785159,0.01497998071116815,0.015152394771575928
loco_decay,fire_only,42,b005_0414,84f60296c564306ae630b3baebf68f3cdc1466ba819e0d8ddcc29f6ee3565ec4,decay,9,batch_005,sample_0659,False,0.008724362635221637,0.012638098527497716,0.019158661365509033
loco_decay,fire_only,42,b005_0415,13a09beccfb66deda353d1d3457ab91d15d75096f152767868838d13377f151b,decay,11,batch_005,sample_0660,False,0.013874769699378092,0.017861521516366444,0.04600793123245239
loco_decay,fire_only,42,b005_0416,cf5264c1e28ec7397855251c4433a1bf1ac27aaff7f04d32ef93f7fbd18f2a06,decay,15,batch_005,sample_0661,False,0.027671986916026133,0.030692562668647113,0.04057878255844116
loco_decay,fire_only,42,b005_0417,ded516eb178d9489a52a05d46fdf35868a9ea964561765ec6fe56dc06cd7f97e,decay,14,batch_005,sample_0662,False,0.015320682134784635,0.020381667340247947,0.025417804718017578
loco_decay,fire_only,42,b005_0418,4d9f9d4e98b9d2f8645bf090c11799d3e1e84000120e994c22feac79c212bc58,decay,4,batch_005,sample_0663,False,0.010146350889909462,0.012550428859728473,0.03268539905548096
loco_decay,fire_only,42,b005_0419,e33904937fecfe134ea18061aabbb054e907542289c9051eda379c3496deed6d,decay,12,batch_005,sample_0664,False,0.011260018974054055,0.02181236288430608,0.03234940767288208
loco_decay,fire_only,42,b005_0420,dd8372b01459f0ceb63fbace9cbd8f4494c9d0a32d21e2c55a8e39c076a6d863,decay,5,batch_005,sample_0665,False,0.014836025531174706,0.019305477752981904,0.02095554769039154
loco_decay,fire_only,42,b005_0421,02b4a503a97fd7ac82ceaff2939889ef9d5cef5693117754cca3a3ac5b23b427,decay,12,batch_005,sample_0666,False,0.017164139474024537,0.023799132545175433,0.06721359491348267
loco_decay,fire_only,42,b005_0422,8bcd37add6344883e4563f4d6caad01eb0461a15f44ae0e975f618e7af991186,decay,3,batch_005,sample_0667,False,0.018842207481626603,0.021393122105498055,0.02468094229698181
loco_decay,fire_only,42,b005_0423,e295ddb114bd623b2674e453b1c6267e261edf81599464ce5355a21482a7732c,decay,6,batch_005,sample_0668,False,0.012456465940006444,0.017537190644712708,0.04586181044578552
loco_decay,fire_only,42,b005_0424,e7cb57a9b6a6af1ff6c57e46aa470e4d06ee1d6c462f5f7e5b8c920b3c3764ce,decay,1,batch_005,sample_0669,False,0.022441294349607874,0.02505002020901488,0.03312879800796509
loco_decay,fire_only,42,b005_0425,054bfe991b8dcbb9004538c85245c6c026f4adf72cc92eb308e0e18bc6f3daaf,decay,5,batch_005,sample_0670,False,0.007781989750314931,0.008924151015314187,0.012487411499023438
loco_decay,fire_only,42,b005_0426,252bc691b7cceec9a1bf0efb85947392dfac75f23ad6f631b8cc0002e7d2df46,decay,7,batch_005,sample_0671,False,0.02310614532134572,0.027130756127542333,0.047109901905059814
loco_decay,fire_only,42,b005_0427,919e8e590c8eee39d9ce3ee2b377471d0b82f6f08019be608a0efc8ff2e05213,decay,5,batch_005,sample_0672,False,0.022757753974101583,0.025368846747658026,0.014663279056549072
loco_decay,fire_only,42,b005_0428,4fcd0a4398aa5e3ac667a15e3e8b3c68412cb4f390fbda8ca453a46762813d42,decay,10,batch_005,sample_0673,False,0.024919302737126586,0.029170474180451007,0.0585254430770874
loco_decay,fire_only,42,b005_0429,0dc1a16c83538e6d1ce96910cbc23934bdd8fc8bd77b5aa4c0ba9b7be8e8e54e,decay,6,batch_005,sample_0674,False,0.00920698022256132,0.014354244706493803,0.029080569744110107
loco_decay,fire_only,42,b005_0430,c0fd1a13c38e4ca601e78a65e7e868363f0aa0669d55227960a9ae12eb43263d,decay,3,batch_005,sample_0675,False,0.020054649866995265,0.023650188421568057,0.02356851100921631
loco_decay,fire_only,42,b005_0431,b9dcdd69e48e4822ad86d6598999a2814459383bfc207e81cf4dc8179da6529e,decay,9,batch_005,sample_0676,False,0.043591063042156035,0.04699341701001213,0.08247095346450806
loco_decay,fire_only,42,b005_0433,1ffbd011de487272684bc73c7545e4a2a50ef4c3b3c5cb2e4f7e3320d61bac0e,decay,5,batch_005,sample_0677,False,0.00955447114881922,0.011116767133178539,0.01700693368911743
loco_decay,fire_only,42,b005_0434,0488a71fd3f979045391a11e116a950e2070e3427f7335aa7b9a839a902595d9,decay,1,batch_005,sample_0678,False,0.01787494513832155,0.021857205209147867,0.008921146392822266
loco_decay,fire_only,42,b005_0435,ee4c9499d8778064aac537b4960bfc1032d40a4b0e5f663211bae84ae09daf0d,decay,1,batch_005,sample_0679,False,0.01166834767724647,0.01415554516958744,0.026919066905975342
loco_decay,fire_only,42,b005_0437,691ecc73055a075c853c2f1c567bcb840b0e99b35b7b6373e523038a357136bb,decay,13,batch_005,sample_0680,False,0.014831593290704196,0.019369378340781934,0.025971949100494385
loco_decay,fire_only,42,b005_0438,bfa1c64d18eaed88abd387847e3ca44217a4c07bcc985084e022eb150ce2aa56,decay,5,batch_005,sample_0681,False,0.013508101955789035,0.014868029104240295,0.02829951047897339
