example,sample_id,series,threshold,event,first_grid_time_s,response_at_event,censor_label,recross
1,b005_0291,reference,0.8,True,240.0,0.7556957006454468,,False
1,b005_0291,reference,0.6,True,1140.0,0.5960241556167603,,False
1,b005_0291,capacity_matched_deepsets,0.8,True,240.0,0.7456251978874207,,False
1,b005_0291,capacity_matched_deepsets,0.6,True,1140.0,0.5838049054145813,,False
1,b005_0291,gnn,0.8,True,180.0,0.7911109924316406,,False
1,b005_0291,gnn,0.6,True,1140.0,0.576373279094696,,False
2,b005_0622,reference,0.8,True,720.0,0.7388219833374023,,False
2,b005_0622,reference,0.6,True,1380.0,0.5940059423446655,,False
2,b005_0622,capacity_matched_deepsets,0.8,True,720.0,0.776080846786499,,False
2,b005_0622,capacity_matched_deepsets,0.6,True,1260.0,0.5935489535331726,,False
2,b005_0622,gnn,0.8,True,720.0,0.7615997195243835,,True
2,b005_0622,gnn,0.6,True,1320.0,0.5872629284858704,,True
3,b005_0621,reference,0.8,True,720.0,0.7652825713157654,,False
3,b005_0621,reference,0.6,True,1380.0,0.5919327735900879,,False
3,b005_0621,capacity_matched_deepsets,0.8,True,720.0,0.7707836627960205,,True
3,b005_0621,capacity_matched_deepsets,0.6,True,1380.0,0.586603045463562,,True
3,b005_0621,gnn,0.8,True,720.0,0.7536224126815796,,True
3,b005_0621,gnn,0.6,True,1380.0,0.5897637009620667,,True
4,b005_0568,reference,0.8,True,600.0,0.7401568293571472,,False
4,b005_0568,reference,0.6,True,1080.0,0.5734235048294067,,False
4,b005_0568,capacity_matched_deepsets,0.8,True,660.0,0.7490870356559753,,True
4,b005_0568,capacity_matched_deepsets,0.6,True,1080.0,0.5805901288986206,,True
4,b005_0568,gnn,0.8,True,600.0,0.7694957852363586,,True
4,b005_0568,gnn,0.6,True,1080.0,0.5618104934692383,,True
