family,contrast,first_model,second_model,difference,percentile_95_lower,percentile_95_upper,difference_percentage_points,lower_percentage_points,upper_percentage_points,bootstrap_repeats,bootstrap_random_seed,interval_method,multiplicity_adjusted
iso834,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,2.7164927478720567e-05,-0.0005319894709347792,0.000532841268296056,0.002716492747872057,-0.05319894709347792,0.0532841268296056,5000,20260907,source_two_way_geometry_seed_percentile,False
iso834,mean_vs_sum,gnn,gnn_mean,-1.1801734044112472e-05,-0.00032108593975820163,0.0003305802295364406,-0.0011801734044112472,-0.032108593975820166,0.03305802295364406,5000,20260907,source_two_way_geometry_seed_percentile,False
astm_e119,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,0.00033712122682562264,-0.00013044295488270937,0.0008228129344133336,0.03371212268256227,-0.013044295488270937,0.08228129344133336,5000,20260907,source_two_way_geometry_seed_percentile,False
astm_e119,mean_vs_sum,gnn,gnn_mean,-0.0002083043001971414,-0.0005823849571565033,0.00013188373002708206,-0.02083043001971414,-0.058238495715650325,0.013188373002708207,5000,20260907,source_two_way_geometry_seed_percentile,False
external_fire,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,0.00027334744135006463,-0.0005394329677789894,0.0010759025307134778,0.027334744135006462,-0.05394329677789894,0.10759025307134779,5000,20260907,source_two_way_geometry_seed_percentile,False
external_fire,mean_vs_sum,gnn,gnn_mean,6.874113447413697e-05,-0.0004572610924747646,0.000614342944464104,0.006874113447413697,-0.04572610924747646,0.061434294446410395,5000,20260907,source_two_way_geometry_seed_percentile,False
linear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,0.000955000860378389,-0.007987824507057664,0.010046564814765919,0.0955000860378389,-0.7987824507057664,1.004656481476592,5000,20260907,source_two_way_geometry_seed_percentile,False
linear,mean_vs_sum,gnn,gnn_mean,-0.002313654546366365,-0.005188580312352688,0.00035471831973458735,-0.2313654546366365,-0.5188580312352687,0.03547183197345873,5000,20260907,source_two_way_geometry_seed_percentile,False
bilinear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,0.0005991318132843336,-0.006741032456855827,0.0098716121602368,0.05991318132843336,-0.6741032456855827,0.98716121602368,5000,20260907,source_two_way_geometry_seed_percentile,False
bilinear,mean_vs_sum,gnn,gnn_mean,-0.002563450304477654,-0.008187531200601417,0.0023475910998898303,-0.2563450304477654,-0.8187531200601417,0.23475910998898303,5000,20260907,source_two_way_geometry_seed_percentile,False
plateau,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,0.00046887750717061435,-0.0002201876766148428,0.0012964947780375734,0.04688775071706144,-0.02201876766148428,0.12964947780375735,5000,20260907,source_two_way_geometry_seed_percentile,False
plateau,mean_vs_sum,gnn,gnn_mean,0.00014896002760714268,-0.00033025082195577593,0.0006950840775543751,0.014896002760714268,-0.03302508219557759,0.06950840775543751,5000,20260907,source_two_way_geometry_seed_percentile,False
decay,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,-0.0009679272507144302,-0.002775039364235608,0.0006039494926526849,-0.09679272507144301,-0.2775039364235608,0.06039494926526849,5000,20260907,source_two_way_geometry_seed_percentile,False
decay,mean_vs_sum,gnn,gnn_mean,0.0002441948530775343,-0.0017240795598134464,0.0021449215288777794,0.02441948530775343,-0.17240795598134465,0.21449215288777795,5000,20260907,source_two_way_geometry_seed_percentile,False
perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,8.230717169659119e-05,-0.000318748070271786,0.000489676751159522,0.008230717169659119,-0.0318748070271786,0.0489676751159522,5000,20260907,source_two_way_geometry_seed_percentile,False
perturbed_iso,mean_vs_sum,gnn,gnn_mean,-0.00022133732476732303,-0.0005501972056244169,0.00010705039915555109,-0.022133732476732303,-0.05501972056244169,0.010705039915555109,5000,20260907,source_two_way_geometry_seed_percentile,False
log_variant,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,-5.9291254751164464e-05,-0.0012770523926865836,0.0010112840231476154,-0.0059291254751164466,-0.12770523926865837,0.10112840231476154,5000,20260907,source_two_way_geometry_seed_percentile,False
log_variant,mean_vs_sum,gnn,gnn_mean,0.0007171731774117049,-0.0005833244298727036,0.0020665861386584485,0.07171731774117049,-0.05833244298727036,0.20665861386584486,5000,20260907,source_two_way_geometry_seed_percentile,False
smoldering,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,0.0005018691245377641,-0.0026381838538768786,0.0036140001727778376,0.050186912453776406,-0.26381838538768787,0.36140001727778376,5000,20260907,source_two_way_geometry_seed_percentile,False
smoldering,mean_vs_sum,gnn,gnn_mean,-0.0008823567515030353,-0.0025785968325136885,0.0008790159895348741,-0.08823567515030353,-0.2578596832513688,0.08790159895348741,5000,20260907,source_two_way_geometry_seed_percentile,False
