subgroup,model,seed,case_count,MAE,MAE_percentage_points
restored_flat,capacity_matched_deepsets,42,86,0.005294749391837877,0.5294749391837877
restored_flat,capacity_matched_deepsets,43,86,0.0107287249172456,1.07287249172456
restored_flat,capacity_matched_deepsets,44,86,0.00651690297984817,0.651690297984817
restored_flat,capacity_matched_deepsets,45,86,0.00612025356592674,0.612025356592674
restored_flat,capacity_matched_deepsets,46,86,0.009752312281001714,0.9752312281001714
restored_flat,deepsets,42,86,0.006156132528448258,0.6156132528448258
restored_flat,deepsets,43,86,0.007685392424663009,0.7685392424663009
restored_flat,deepsets,44,86,0.0053717479126806494,0.5371747912680649
restored_flat,deepsets,45,86,0.006417665802428027,0.6417665802428028
restored_flat,deepsets,46,86,0.00819369120039737,0.819369120039737
restored_flat,fire_only,42,86,0.006190761520441684,0.6190761520441684
restored_flat,fire_only,43,86,0.00529181011932926,0.529181011932926
restored_flat,fire_only,44,86,0.005075501557119965,0.5075501557119966
restored_flat,fire_only,45,86,0.0047059261953380305,0.47059261953380305
restored_flat,fire_only,46,86,0.004652325394859805,0.46523253948598053
restored_flat,global_stats,42,86,0.012513848397279979,1.2513848397279979
restored_flat,global_stats,43,86,0.006098368890040934,0.6098368890040934
restored_flat,global_stats,44,86,0.005869447060136677,0.5869447060136677
restored_flat,global_stats,45,86,0.008093843217392297,0.8093843217392297
restored_flat,global_stats,46,86,0.00522793303952156,0.5227933039521561
restored_flat,gnn,42,86,0.007767415051236618,0.7767415051236618
restored_flat,gnn,43,86,0.00716806105698418,0.7168061056984181
restored_flat,gnn,44,86,0.00590582453836429,0.590582453836429
restored_flat,gnn,45,86,0.008668626293261587,0.8668626293261588
restored_flat,gnn,46,86,0.005885697585955543,0.5885697585955543
restored_flat,gnn_mean,42,86,0.008761491636442714,0.8761491636442714
restored_flat,gnn_mean,43,86,0.008278953997269817,0.8278953997269818
restored_flat,gnn_mean,44,86,0.005678049842228694,0.5678049842228694
restored_flat,gnn_mean,45,86,0.0073365580476606965,0.7336558047660696
restored_flat,gnn_mean,46,86,0.008364391790470677,0.8364391790470678
restored_flat,gnn_zero_edge_features,42,86,0.0073636853985780525,0.7363685398578053
restored_flat,gnn_zero_edge_features,43,86,0.008136923479933843,0.8136923479933843
restored_flat,gnn_zero_edge_features,44,86,0.00962442130111707,0.962442130111707
restored_flat,gnn_zero_edge_features,45,86,0.007495319984180016,0.7495319984180017
restored_flat,gnn_zero_edge_features,46,86,0.0063755490763515,0.63755490763515
retained_nonflat,capacity_matched_deepsets,42,11,0.028771350707098135,2.8771350707098136
retained_nonflat,capacity_matched_deepsets,43,11,0.05346139932353871,5.3461399323538705
retained_nonflat,capacity_matched_deepsets,44,11,0.047207807375315165,4.720780737531516
retained_nonflat,capacity_matched_deepsets,45,11,0.04293707115284195,4.293707115284195
retained_nonflat,capacity_matched_deepsets,46,11,0.06103077615248993,6.103077615248993
retained_nonflat,deepsets,42,11,0.029026097050366864,2.9026097050366864
retained_nonflat,deepsets,43,11,0.04593733144055177,4.593733144055177
retained_nonflat,deepsets,44,11,0.02878582895068579,2.878582895068579
retained_nonflat,deepsets,45,11,0.04105703281752218,4.105703281752218
retained_nonflat,deepsets,46,11,0.04419730281687703,4.419730281687703
retained_nonflat,fire_only,42,11,0.040953566349387654,4.095356634938765
retained_nonflat,fire_only,43,11,0.010801780774589773,1.0801780774589773
retained_nonflat,fire_only,44,11,0.019717712249556846,1.9717712249556847
retained_nonflat,fire_only,45,11,0.029050314923867702,2.90503149238677
retained_nonflat,fire_only,46,11,0.016778278013277626,1.6778278013277625
retained_nonflat,global_stats,42,11,0.03543479049969711,3.543479049969711
retained_nonflat,global_stats,43,11,0.03538080832286666,3.5380808322866657
retained_nonflat,global_stats,44,11,0.027230118585947507,2.7230118585947505
retained_nonflat,global_stats,45,11,0.04251759533732902,4.251759533732901
retained_nonflat,global_stats,46,11,0.03701246344385839,3.701246344385839
retained_nonflat,gnn,42,11,0.044094104347570065,4.409410434757007
retained_nonflat,gnn,43,11,0.05066386171673516,5.066386171673516
retained_nonflat,gnn,44,11,0.04458190005511352,4.4581900055113515
retained_nonflat,gnn,45,11,0.050831480726222115,5.083148072622212
retained_nonflat,gnn,46,11,0.04469913741693052,4.469913741693052
retained_nonflat,gnn_mean,42,11,0.058913597051503896,5.891359705150389
retained_nonflat,gnn_mean,43,11,0.05535835507374403,5.5358355073744026
retained_nonflat,gnn_mean,44,11,0.041653066651476424,4.165306665147642
retained_nonflat,gnn_mean,45,11,0.042789650389760805,4.2789650389760805
retained_nonflat,gnn_mean,46,11,0.05141894570406071,5.1418945704060715
retained_nonflat,gnn_zero_edge_features,42,11,0.048310638451185335,4.831063845118534
retained_nonflat,gnn_zero_edge_features,43,11,0.05747444494648231,5.747444494648231
retained_nonflat,gnn_zero_edge_features,44,11,0.045595760672351764,4.559576067235176
retained_nonflat,gnn_zero_edge_features,45,11,0.04189996658956236,4.189996658956236
retained_nonflat,gnn_zero_edge_features,46,11,0.04630460859943959,4.630460859943959
