model,display_label,seed,MAE,MAE_percentage_points
fire_only,Fire only,42,0.011416532847394285,1.1416532847394285
fire_only,Fire only,43,0.011195457636864834,1.1195457636864834
fire_only,Fire only,44,0.011402894061697564,1.1402894061697564
fire_only,Fire only,45,0.011655196074821425,1.1655196074821426
fire_only,Fire only,46,0.01131496163161198,1.131496163161198
global_stats,Global statistics,42,0.008944327247433496,0.8944327247433496
global_stats,Global statistics,43,0.008897900939229576,0.8897900939229576
global_stats,Global statistics,44,0.008996258745173642,0.8996258745173642
global_stats,Global statistics,45,0.008880883500160749,0.8880883500160749
global_stats,Global statistics,46,0.00894314450669607,0.894314450669607
deepsets,DeepSets,42,0.008557216314535415,0.8557216314535414
deepsets,DeepSets,43,0.008779522447623016,0.8779522447623016
deepsets,DeepSets,44,0.008369822961840726,0.8369822961840726
deepsets,DeepSets,45,0.008310642082386764,0.8310642082386764
deepsets,DeepSets,46,0.008641244322822483,0.8641244322822483
capacity_matched_deepsets,Matched DeepSets,42,0.008515993339526249,0.8515993339526249
capacity_matched_deepsets,Matched DeepSets,43,0.008437462038487876,0.8437462038487876
capacity_matched_deepsets,Matched DeepSets,44,0.008357962023036899,0.8357962023036899
capacity_matched_deepsets,Matched DeepSets,45,0.008617515886451935,0.8617515886451935
capacity_matched_deepsets,Matched DeepSets,46,0.008585799233756481,0.8585799233756481
gnn,GNN (sum messages),42,0.008996458295921148,0.8996458295921148
gnn,GNN (sum messages),43,0.008625725488267602,0.8625725488267603
gnn,GNN (sum messages),44,0.008070166334049387,0.8070166334049387
gnn,GNN (sum messages),45,0.009077339824973687,0.9077339824973687
gnn,GNN (sum messages),46,0.0087246503984745,0.87246503984745
gnn_zero_edge_features,GNN (zero edge features),42,0.009138234218305258,0.9138234218305258
gnn_zero_edge_features,GNN (zero edge features),43,0.008588828593833595,0.8588828593833595
gnn_zero_edge_features,GNN (zero edge features),44,0.00849248916906687,0.849248916906687
gnn_zero_edge_features,GNN (zero edge features),45,0.008417701785732678,0.8417701785732679
gnn_zero_edge_features,GNN (zero edge features),46,0.008155710217922201,0.8155710217922201
gnn_mean,GNN (mean messages),42,0.008644459592252365,0.8644459592252365
gnn_mean,GNN (mean messages),43,0.008719191571817296,0.8719191571817296
gnn_mean,GNN (mean messages),44,0.008403381652837537,0.8403381652837537
gnn_mean,GNN (mean messages),45,0.008315265336735638,0.8315265336735638
gnn_mean,GNN (mean messages),46,0.008179406179189084,0.8179406179189084
