device,model,interface,single_median_ms,single_p95_ms,batch32_queries_per_s,single_measurements,batch_measurements,query
cpu,fire_only,forward_resident_inputs,0.8040000102482736,1.0480300639756024,17491.882682060907,480,15,one entire 61-time response trajectory
cpu,fire_only,common_input_to_host_output,1.1013500043191016,1.4371450000908224,3469.5317346668157,480,15,one entire 61-time response trajectory
cpu,global_stats,forward_resident_inputs,0.810750003438443,1.017260056687519,17450.484166845064,480,15,one entire 61-time response trajectory
cpu,global_stats,common_input_to_host_output,1.1418999638408422,1.4604700496420253,3518.767488844745,480,15,one entire 61-time response trajectory
cpu,deepsets,forward_resident_inputs,1.0107000125572085,1.2300599366426468,14440.911147176617,480,15,one entire 61-time response trajectory
cpu,deepsets,common_input_to_host_output,1.37189996894449,1.7376900708768512,3342.087743587817,480,15,one entire 61-time response trajectory
cpu,capacity_matched_deepsets,forward_resident_inputs,1.0936499456875026,1.3666449289303269,13123.538883673657,480,15,one entire 61-time response trajectory
cpu,capacity_matched_deepsets,common_input_to_host_output,1.4232000103220344,2.071819902630517,3272.9362954819862,480,15,one entire 61-time response trajectory
cpu,gnn,forward_resident_inputs,2.011150005273521,2.3968250898178667,6475.687836789336,480,15,one entire 61-time response trajectory
cpu,gnn,common_input_to_host_output,2.3471000022254884,3.0587900022510435,2578.2665023364434,480,15,one entire 61-time response trajectory
cpu,gnn_zero_edge_features,forward_resident_inputs,2.0047000143676996,2.4587649793829764,7023.591964029751,480,15,one entire 61-time response trajectory
cpu,gnn_zero_edge_features,common_input_to_host_output,2.2754999808967113,2.946584968594834,2639.1346273110476,480,15,one entire 61-time response trajectory
cpu,gnn_mean,forward_resident_inputs,2.121900033671409,2.8426349861547346,6662.8910171695325,480,15,one entire 61-time response trajectory
cpu,gnn_mean,common_input_to_host_output,2.450199914164841,3.1109450501389797,2619.5883005711135,480,15,one entire 61-time response trajectory
cuda,fire_only,forward_resident_inputs,0.4823500057682395,0.807569979224354,54538.636737982684,480,15,one entire 61-time response trajectory
cuda,fire_only,common_input_to_host_output,0.9363999124616385,1.3127299840562046,4057.834282749979,480,15,one entire 61-time response trajectory
cuda,global_stats,forward_resident_inputs,0.620200065895915,0.9228799259290098,48273.22794371026,480,15,one entire 61-time response trajectory
cuda,global_stats,common_input_to_host_output,1.0399000020697713,1.6139650600962336,3967.519234005074,480,15,one entire 61-time response trajectory
cuda,deepsets,forward_resident_inputs,1.1373000452294946,1.7063250590581438,24429.718731228346,480,15,one entire 61-time response trajectory
cuda,deepsets,common_input_to_host_output,1.5872999792918563,1.9985749677289273,3717.958763202294,480,15,one entire 61-time response trajectory
cuda,capacity_matched_deepsets,forward_resident_inputs,1.2042499729432166,1.650980103295295,24600.119742495786,480,15,one entire 61-time response trajectory
cuda,capacity_matched_deepsets,common_input_to_host_output,1.7205500043928623,2.6240600564051406,3609.4052065399505,480,15,one entire 61-time response trajectory
cuda,gnn,forward_resident_inputs,2.819899993482977,3.5294649598654333,10563.380304977247,480,15,one entire 61-time response trajectory
cuda,gnn,common_input_to_host_output,3.3007999882102013,3.8064749969635154,2913.811287825098,480,15,one entire 61-time response trajectory
cuda,gnn_zero_edge_features,forward_resident_inputs,2.820200053974986,3.320740023627877,9610.340796486087,480,15,one entire 61-time response trajectory
cuda,gnn_zero_edge_features,common_input_to_host_output,3.370750055182725,4.694405000191181,2961.937253433117,480,15,one entire 61-time response trajectory
cuda,gnn_mean,forward_resident_inputs,3.564650018233806,4.726170061621807,7538.88415751476,480,15,one entire 61-time response trajectory
cuda,gnn_mean,common_input_to_host_output,4.177550028543919,5.258394993143156,2729.4143856838677,480,15,one entire 61-time response trajectory
