device,model,stage,batch_size,metric,value,cases_total,measurements,unit
cpu,fire_only,common_input_to_host_output,1,median_batch_ms,1.1013500043191016,480,480,ms per 61-time query
cpu,fire_only,common_input_to_host_output,1,p95_batch_ms,1.4371450000908224,480,480,ms per 61-time query
cpu,fire_only,forward_resident_inputs,32,cases_per_second,17491.882682060907,480,15,61-time queries per second
cpu,fire_only,common_input_to_host_output,32,cases_per_second,3469.5317346668157,480,15,61-time queries per second
cpu,global_stats,common_input_to_host_output,1,median_batch_ms,1.1418999638408422,480,480,ms per 61-time query
cpu,global_stats,common_input_to_host_output,1,p95_batch_ms,1.4604700496420253,480,480,ms per 61-time query
cpu,global_stats,forward_resident_inputs,32,cases_per_second,17450.484166845064,480,15,61-time queries per second
cpu,global_stats,common_input_to_host_output,32,cases_per_second,3518.767488844745,480,15,61-time queries per second
cpu,deepsets,common_input_to_host_output,1,median_batch_ms,1.37189996894449,480,480,ms per 61-time query
cpu,deepsets,common_input_to_host_output,1,p95_batch_ms,1.7376900708768512,480,480,ms per 61-time query
cpu,deepsets,forward_resident_inputs,32,cases_per_second,14440.911147176617,480,15,61-time queries per second
cpu,deepsets,common_input_to_host_output,32,cases_per_second,3342.087743587817,480,15,61-time queries per second
cpu,capacity_matched_deepsets,common_input_to_host_output,1,median_batch_ms,1.4232000103220344,480,480,ms per 61-time query
cpu,capacity_matched_deepsets,common_input_to_host_output,1,p95_batch_ms,2.071819902630517,480,480,ms per 61-time query
cpu,capacity_matched_deepsets,forward_resident_inputs,32,cases_per_second,13123.538883673657,480,15,61-time queries per second
cpu,capacity_matched_deepsets,common_input_to_host_output,32,cases_per_second,3272.9362954819862,480,15,61-time queries per second
cpu,gnn,common_input_to_host_output,1,median_batch_ms,2.3471000022254884,480,480,ms per 61-time query
cpu,gnn,common_input_to_host_output,1,p95_batch_ms,3.0587900022510435,480,480,ms per 61-time query
cpu,gnn,forward_resident_inputs,32,cases_per_second,6475.687836789336,480,15,61-time queries per second
cpu,gnn,common_input_to_host_output,32,cases_per_second,2578.2665023364434,480,15,61-time queries per second
cpu,gnn_zero_edge_features,common_input_to_host_output,1,median_batch_ms,2.2754999808967113,480,480,ms per 61-time query
cpu,gnn_zero_edge_features,common_input_to_host_output,1,p95_batch_ms,2.946584968594834,480,480,ms per 61-time query
cpu,gnn_zero_edge_features,forward_resident_inputs,32,cases_per_second,7023.591964029751,480,15,61-time queries per second
cpu,gnn_zero_edge_features,common_input_to_host_output,32,cases_per_second,2639.1346273110476,480,15,61-time queries per second
cpu,gnn_mean,common_input_to_host_output,1,median_batch_ms,2.450199914164841,480,480,ms per 61-time query
cpu,gnn_mean,common_input_to_host_output,1,p95_batch_ms,3.1109450501389797,480,480,ms per 61-time query
cpu,gnn_mean,forward_resident_inputs,32,cases_per_second,6662.8910171695325,480,15,61-time queries per second
cpu,gnn_mean,common_input_to_host_output,32,cases_per_second,2619.5883005711135,480,15,61-time queries per second
cuda,fire_only,common_input_to_host_output,1,median_batch_ms,0.9363999124616385,480,480,ms per 61-time query
cuda,fire_only,common_input_to_host_output,1,p95_batch_ms,1.3127299840562046,480,480,ms per 61-time query
cuda,fire_only,forward_resident_inputs,32,cases_per_second,54538.636737982684,480,15,61-time queries per second
cuda,fire_only,common_input_to_host_output,32,cases_per_second,4057.834282749979,480,15,61-time queries per second
cuda,global_stats,common_input_to_host_output,1,median_batch_ms,1.0399000020697713,480,480,ms per 61-time query
cuda,global_stats,common_input_to_host_output,1,p95_batch_ms,1.6139650600962336,480,480,ms per 61-time query
cuda,global_stats,forward_resident_inputs,32,cases_per_second,48273.22794371026,480,15,61-time queries per second
cuda,global_stats,common_input_to_host_output,32,cases_per_second,3967.519234005074,480,15,61-time queries per second
cuda,deepsets,common_input_to_host_output,1,median_batch_ms,1.5872999792918563,480,480,ms per 61-time query
cuda,deepsets,common_input_to_host_output,1,p95_batch_ms,1.9985749677289273,480,480,ms per 61-time query
cuda,deepsets,forward_resident_inputs,32,cases_per_second,24429.718731228346,480,15,61-time queries per second
cuda,deepsets,common_input_to_host_output,32,cases_per_second,3717.958763202294,480,15,61-time queries per second
cuda,capacity_matched_deepsets,common_input_to_host_output,1,median_batch_ms,1.7205500043928623,480,480,ms per 61-time query
