time_s,target_float32
0.0,1.0
60.0,1.0
120.0,0.94037396
180.0,0.7511967
240.0,0.7398584
300.0,0.7398584
360.0,0.7398584
420.0,0.7398584
480.0,0.7398584
540.0,0.7180493
600.0,0.7034224
660.0,0.6696535
720.0,0.65038025
780.0,0.6326861
840.0,0.5967491
900.0,0.57691664
960.0,0.535069
1020.0,0.50744665
1080.0,0.46681365
1140.0,0.4452037
1200.0,0.43833122
1260.0,0.4342133
1320.0,0.413301
1380.0,0.4105774
1440.0,0.39756387
1500.0,0.38556826
1560.0,0.36065546
1620.0,0.35511822
1680.0,0.33387968
1740.0,0.33387968
1800.0,0.32763538
1860.0,0.30443516
1920.0,0.29641268
1980.0,0.29087463
2040.0,0.27997646
2100.0,0.26379552
2160.0,0.23948196
2220.0,0.22335324
2280.0,0.21503155
2340.0,0.20574744
2400.0,0.2004536
2460.0,0.19634193
2520.0,0.18370141
2580.0,0.1775639
2640.0,0.17363626
2700.0,0.16648956
2760.0,0.15955827
2820.0,0.14761655
2880.0,0.13819733
2940.0,0.122931495
3000.0,0.11145031
3060.0,0.10725942
3120.0,0.10525207
3180.0,0.09696913
3240.0,0.094210826
3300.0,0.0892366
3360.0,0.085247986
3420.0,0.07933603
3480.0,0.07440505
3540.0,0.06529935
3600.0,0.059413362
