fire_family,crack_count,cases
iso834,1,19
iso834,2,18
iso834,3,17
iso834,4,19
iso834,5,13
iso834,6,16
iso834,7,17
iso834,8,21
iso834,9,2
iso834,10,6
iso834,11,3
iso834,12,2
iso834,13,4
iso834,14,0
iso834,15,1
astm_e119,1,8
astm_e119,2,5
astm_e119,3,14
astm_e119,4,8
astm_e119,5,6
astm_e119,6,10
astm_e119,7,12
astm_e119,8,8
astm_e119,9,4
astm_e119,10,3
astm_e119,11,6
astm_e119,12,7
astm_e119,13,2
astm_e119,14,2
astm_e119,15,0
external_fire,1,2
external_fire,2,4
external_fire,3,2
external_fire,4,4
external_fire,5,5
external_fire,6,2
external_fire,7,2
external_fire,8,4
external_fire,9,6
external_fire,10,3
external_fire,11,3
external_fire,12,2
external_fire,13,5
external_fire,14,2
external_fire,15,3
linear,1,12
linear,2,11
linear,3,8
linear,4,10
linear,5,12
linear,6,16
linear,7,15
linear,8,7
linear,9,2
linear,10,4
linear,11,6
linear,12,5
linear,13,6
linear,14,5
linear,15,6
bilinear,1,6
bilinear,2,6
bilinear,3,6
bilinear,4,9
bilinear,5,3
bilinear,6,4
bilinear,7,5
bilinear,8,4
bilinear,9,6
bilinear,10,7
bilinear,11,3
bilinear,12,6
bilinear,13,5
bilinear,14,5
bilinear,15,2
plateau,1,10
plateau,2,7
plateau,3,12
plateau,4,7
plateau,5,11
plateau,6,7
plateau,7,13
plateau,8,18
plateau,9,5
plateau,10,3
plateau,11,4
plateau,12,1
plateau,13,2
plateau,14,2
plateau,15,1
decay,1,11
decay,2,9
decay,3,7
decay,4,11
decay,5,11
decay,6,10
decay,7,9
decay,8,8
decay,9,10
decay,10,6
decay,11,6
decay,12,5
decay,13,6
decay,14,2
decay,15,2
perturbed_iso,1,17
perturbed_iso,2,10
perturbed_iso,3,17
perturbed_iso,4,12
perturbed_iso,5,18
perturbed_iso,6,6
perturbed_iso,7,7
perturbed_iso,8,10
perturbed_iso,9,4
perturbed_iso,10,3
perturbed_iso,11,3
perturbed_iso,12,3
perturbed_iso,13,0
perturbed_iso,14,1
perturbed_iso,15,0
log_variant,1,2
log_variant,2,8
log_variant,3,4
log_variant,4,4
log_variant,5,7
log_variant,6,8
log_variant,7,6
log_variant,8,6
log_variant,9,6
log_variant,10,4
log_variant,11,3
log_variant,12,3
log_variant,13,1
log_variant,14,4
log_variant,15,3
smoldering,1,8
smoldering,2,6
smoldering,3,9
smoldering,4,8
smoldering,5,6
smoldering,6,9
smoldering,7,6
smoldering,8,8
smoldering,9,3
smoldering,10,6
smoldering,11,4
smoldering,12,6
smoldering,13,5
smoldering,14,6
smoldering,15,7
