sample_id,geometry_id,source_batch,fire_family,crack_count,legacy911,flat_response
b004_0000,56c4493a91640adf99623b245b8573d97dbf21ca915831bdf723bb6b9546a2bb,batch_004,iso834,4,True,False
b004_0001,7c000b5ecc7160e74be209f6bc1ef23dc70dd7cdb1117ae74ebb148b65a62450,batch_004,iso834,4,True,False
b004_0002,a4c6669c5d3f2e508b42056aab254b5e5385cf2c0e388b32d2d475c826e76d48,batch_004,iso834,7,True,False
b004_0003,7d3105c20983c15793e025b67d4dd5828c2f275a23af27f3fa0475331af5bc36,batch_004,iso834,4,True,False
b004_0004,a9c061605d2813f1a123fb90a6595dd10abc8998ff009e20c4aaa52567023ff1,batch_004,iso834,5,True,False
b004_0005,4af01899b774ff9a439f2d8e885f8bc8313c0e92a8b73b4c5f11281ff605e459,batch_004,iso834,6,True,False
b004_0006,2924d0a2874ea770ebac7588514ed0db2a93565dbcbaafeea9be21eeb43a2e4e,batch_004,iso834,3,True,False
b004_0007,bb140ef7812be1ae35c6e7e2ec9a7e53a6f8e3d0587128ac3935e40a17b6548a,batch_004,iso834,4,True,False
b004_0008,f278aa1d301f2632a948b6e54e3531ee908d4274265a0b03fe0f0b3a857efae2,batch_004,iso834,3,True,False
b004_0009,d8c505e732a84cdc9edf5dda2d3cb4270ccd2ac8a2c96a27b487dd643244bed6,batch_004,iso834,8,True,False
b004_0010,d694d56216a7b97e58e6ac2830f3318ee7d77bc0c71efc96da88d1c46eee5f73,batch_004,iso834,5,True,False
b004_0011,3226dada4bc9d916323bdba5e97d196ea3f119de8bcf2f7db4176364a0dd63a8,batch_004,iso834,7,True,False
b004_0012,4ad5a4112fd7d51f4366c4888e7dab5d9693d69d5c8eddf961cb2afb99eef04a,batch_004,iso834,5,True,False
b004_0013,fdab1605eadd1b0ed65333b4fe1348bbd15678d6d49d7c2acc5767143c164bb3,batch_004,iso834,6,True,False
b004_0014,fa02be82b6e9fe78447e806ad1a55555d05606b3ae9858d5a1a00c60bf327e72,batch_004,iso834,4,True,False
b004_0015,534735167485225517f4180b932c0ded0d907439e9420d0b8a65655786288f24,batch_004,iso834,5,True,False
b004_0017,97cfd0b80df54cb36d98b672d36e323cce69aebd950808480ff5cc9ec15f3cb9,batch_004,iso834,7,True,False
b004_0018,99f5b38e34645694057ba6f712bdd6c96e18ddcccdc01042e16843b2ef8815e4,batch_004,iso834,1,True,False
b004_0019,12e0031b7aec2a502f6ca881ea52d7238fde0489e4851c2994c7f3a33d349dc8,batch_004,iso834,8,True,False
b004_0020,a54b28fdcb9085eb7728a6e4ccec87abe8b15016d990629417ad82ffebd43059,batch_004,iso834,4,True,False
b004_0021,c39fe56063488e06bea6ea0a4e8a7f57f687bbe9f9d14ce8a22cf9af356351d6,batch_004,iso834,3,True,False
