model,seed,crack_count,case_count,MAE,MAE_percentage_points
capacity_matched_deepsets,42,9,48,0.011818029262662037,1.1818029262662038
capacity_matched_deepsets,42,10,45,0.009797172201203581,0.9797172201203581
capacity_matched_deepsets,42,11,41,0.010111653799714636,1.0111653799714637
capacity_matched_deepsets,42,12,40,0.012985431599873453,1.2985431599873454
capacity_matched_deepsets,42,13,36,0.01281623512282555,1.281623512282555
capacity_matched_deepsets,42,14,29,0.015886261565384342,1.5886261565384343
capacity_matched_deepsets,42,15,25,0.011806186865099093,1.1806186865099093
capacity_matched_deepsets,43,9,48,0.012081445112200656,1.2081445112200657
capacity_matched_deepsets,43,10,45,0.012731306052992313,1.2731306052992313
capacity_matched_deepsets,43,11,41,0.011519973240390537,1.1519973240390537
capacity_matched_deepsets,43,12,40,0.013741953411429583,1.3741953411429582
capacity_matched_deepsets,43,13,36,0.011506392221850296,1.1506392221850297
capacity_matched_deepsets,43,14,29,0.0145227039025421,1.45227039025421
capacity_matched_deepsets,43,15,25,0.01353963757391832,1.353963757391832
capacity_matched_deepsets,44,9,48,0.011130491906611256,1.1130491906611255
capacity_matched_deepsets,44,10,45,0.01095119810108437,1.095119810108437
capacity_matched_deepsets,44,11,41,0.009685761764085471,0.9685761764085471
capacity_matched_deepsets,44,12,40,0.01226510736847017,1.226510736847017
capacity_matched_deepsets,44,13,36,0.010411063339798675,1.0411063339798676
capacity_matched_deepsets,44,14,29,0.013993180943931965,1.3993180943931964
capacity_matched_deepsets,44,15,25,0.00965117714932702,0.9651177149327019
capacity_matched_deepsets,45,9,48,0.012448177171756189,1.244817717175619
capacity_matched_deepsets,45,10,45,0.011127853626639735,1.1127853626639734
capacity_matched_deepsets,45,11,41,0.010253000743791376,1.0253000743791376
capacity_matched_deepsets,45,12,40,0.012381349326889977,1.2381349326889977
capacity_matched_deepsets,45,13,36,0.011046344083555683,1.1046344083555684
capacity_matched_deepsets,45,14,29,0.01353067953882912,1.353067953882912
capacity_matched_deepsets,45,15,25,0.012910943578501168,1.2910943578501168
capacity_matched_deepsets,46,9,48,0.011621983114448953,1.1621983114448953
capacity_matched_deepsets,46,10,45,0.010511005697992402,1.0511005697992402
capacity_matched_deepsets,46,11,41,0.01043314292508566,1.043314292508566
capacity_matched_deepsets,46,12,40,0.01257166836838248,1.257166836838248
capacity_matched_deepsets,46,13,36,0.01104617684414582,1.104617684414582
capacity_matched_deepsets,46,14,29,0.013266828653458919,1.3266828653458917
capacity_matched_deepsets,46,15,25,0.009609924293443763,0.9609924293443763
deepsets,42,9,48,0.013825094581273381,1.382509458127338
deepsets,42,10,45,0.010635773955296362,1.0635773955296361
deepsets,42,11,41,0.014323065948874746,1.4323065948874745
deepsets,42,12,40,0.016053059848300213,1.6053059848300213
deepsets,42,13,36,0.016136185551072355,1.6136185551072355
deepsets,42,14,29,0.02034803681547285,2.034803681547285
deepsets,42,15,25,0.012922366241939693,1.2922366241939693
deepsets,43,9,48,0.011614950345261311,1.1614950345261312
deepsets,43,10,45,0.011256623925990594,1.1256623925990594
deepsets,43,11,41,0.011451642111283354,1.1451642111283353
deepsets,43,12,40,0.013812170701376188,1.3812170701376187
deepsets,43,13,36,0.01323567917451719,1.323567917451719
deepsets,43,14,29,0.016282463471529923,1.6282463471529924
deepsets,43,15,25,0.013530995205777543,1.3530995205777543
deepsets,44,9,48,0.01177710161398541,1.177710161398541
deepsets,44,10,45,0.010673313021646227,1.0673313021646227
deepsets,44,11,41,0.010548380192746018,1.0548380192746019
deepsets,44,12,40,0.012004442987810827,1.2004442987810826
deepsets,44,13,36,0.010890865991933596,1.0890865991933596
deepsets,44,14,29,0.013556134321086103,1.3556134321086104
deepsets,44,15,25,0.010478325762221033,1.0478325762221032
deepsets,45,9,48,0.012792174318349496,1.2792174318349496
deepsets,45,10,45,0.013167771415781508,1.3167771415781508
deepsets,45,11,41,0.012108563290970693,1.2108563290970693
deepsets,45,12,40,0.0161329291867794,1.6132929186779401
deepsets,45,13,36,0.013968069121607939,1.3968069121607938
deepsets,45,14,29,0.017650100703147407,1.7650100703147407
deepsets,45,15,25,0.01581737455285959,1.581737455285959
deepsets,46,9,48,0.011813248523065326,1.1813248523065325
deepsets,46,10,45,0.010633563417568074,1.0633563417568075
deepsets,46,11,41,0.010191905917357703,1.0191905917357702
deepsets,46,12,40,0.012861299963637402,1.2861299963637403
deepsets,46,13,36,0.010969746696723674,1.0969746696723675
deepsets,46,14,29,0.01494149610172761,1.494149610172761
deepsets,46,15,25,0.00996985695889734,0.996985695889734
fire_only,42,9,48,0.020187275387628833,2.0187275387628834
fire_only,42,10,45,0.01602140912287379,1.602140912287379
fire_only,42,11,41,0.016960441022038846,1.6960441022038846
fire_only,42,12,40,0.02137865084605134,2.137865084605134
fire_only,42,13,36,0.021350197154750325,2.1350197154750323
fire_only,42,14,29,0.025721542093925943,2.572154209392594
fire_only,42,15,25,0.017022142678987735,1.7022142678987735
fire_only,43,9,48,0.016599259341300656,1.6599259341300656
fire_only,43,10,45,0.014448988661916368,1.4448988661916369
fire_only,43,11,41,0.015836412798328776,1.5836412798328776
fire_only,43,12,40,0.01866560748732476,1.866560748732476
fire_only,43,13,36,0.01932043782375979,1.9320437823759788
fire_only,43,14,29,0.02078064031469372,2.078064031469372
fire_only,43,15,25,0.015854758429722664,1.5854758429722664
fire_only,44,9,48,0.016964915754453833,1.6964915754453833
fire_only,44,10,45,0.01481502725011605,1.481502725011605
fire_only,44,11,41,0.016022117871765752,1.6022117871765753
fire_only,44,12,40,0.019082905425399983,1.9082905425399983
fire_only,44,13,36,0.019477917661785162,1.9477917661785162
fire_only,44,14,29,0.02075334091145918,2.075334091145918
fire_only,44,15,25,0.016186949342000632,1.6186949342000632
fire_only,45,9,48,0.017787636999577392,1.7787636999577392
fire_only,45,10,45,0.0150574254978088,1.50574254978088
fire_only,45,11,41,0.016254626448358876,1.6254626448358875
fire_only,45,12,40,0.01956535941600551,1.9565359416005508
fire_only,45,13,36,0.019636771107306203,1.9636771107306203
fire_only,45,14,29,0.021748501256765265,2.1748501256765267
fire_only,45,15,25,0.0166120923713582,1.66120923713582
fire_only,46,9,48,0.016669421030017253,1.6669421030017253
fire_only,46,10,45,0.01436813463082019,1.436813463082019
fire_only,46,11,41,0.015579603496240305,1.5579603496240304
fire_only,46,12,40,0.018773560551163065,1.8773560551163064
fire_only,46,13,36,0.01925889620445461,1.925889620445461
fire_only,46,14,29,0.020513455172365726,2.0513455172365727
fire_only,46,15,25,0.015620529949665013,1.5620529949665012
global_stats,42,9,48,0.013835095900454055,1.3835095900454055
global_stats,42,10,45,0.011579397051698574,1.1579397051698574
global_stats,42,11,41,0.01207894875985624,1.207894875985624
global_stats,42,12,40,0.016690649073876268,1.669064907387627
global_stats,42,13,36,0.01759777006562557,1.7597770065625569
global_stats,42,14,29,0.02020607512484265,2.020607512484265
global_stats,42,15,25,0.017204277715722006,1.7204277715722007
global_stats,43,9,48,0.012959857991140454,1.2959857991140455
global_stats,43,10,45,0.010747438625437594,1.0747438625437593
global_stats,43,11,41,0.010797513248931353,1.0797513248931352
global_stats,43,12,40,0.013510612303726941,1.351061230372694
global_stats,43,13,36,0.013622345414711535,1.3622345414711534
global_stats,43,14,29,0.01659398462040025,1.659398462040025
global_stats,43,15,25,0.011582974412890681,1.158297441289068
global_stats,44,9,48,0.012537415485561566,1.2537415485561567
global_stats,44,10,45,0.010814927075607807,1.0814927075607808
global_stats,44,11,41,0.010750825502356684,1.0750825502356685
global_stats,44,12,40,0.012509751593174936,1.2509751593174936
global_stats,44,13,36,0.01139736687340421,1.139736687340421
global_stats,44,14,29,0.013677787083085756,1.3677787083085755
global_stats,44,15,25,0.011661752977820641,1.166175297782064
global_stats,45,9,48,0.013652862474706179,1.365286247470618
global_stats,45,10,45,0.011312632558897816,1.1312632558897817
global_stats,45,11,41,0.01101491893412632,1.101491893412632
global_stats,45,12,40,0.013650948952761296,1.3650948952761297
global_stats,45,13,36,0.012387327422372573,1.2387327422372574
global_stats,45,14,29,0.018382630857953264,1.8382630857953264
global_stats,45,15,25,0.012939462480974937,1.2939462480974937
global_stats,46,9,48,0.012918237084133153,1.2918237084133153
global_stats,46,10,45,0.010931890911485389,1.093189091148539
global_stats,46,11,41,0.011924655742344449,1.192465574234445
global_stats,46,12,40,0.014486697922292749,1.4486697922292748
global_stats,46,13,36,0.01408664006332714,1.408664006332714
global_stats,46,14,29,0.017027233616191455,1.7027233616191455
global_stats,46,15,25,0.011639981704657156,1.1639981704657156
gnn,42,9,48,0.011318970997199113,1.1318970997199114
gnn,42,10,45,0.010284129479638708,1.0284129479638708
gnn,42,11,41,0.010086227602354001,1.0086227602354
gnn,42,12,40,0.01214783323898173,1.2147833238981731
gnn,42,13,36,0.010382606071133262,1.0382606071133262
gnn,42,14,29,0.012985491388097752,1.2985491388097752
gnn,42,15,25,0.009659820624062227,0.9659820624062226
gnn,43,9,48,0.011431699328096167,1.1431699328096168
gnn,43,10,45,0.009461871930525225,0.9461871930525225
gnn,43,11,41,0.011285035774522813,1.1285035774522814
gnn,43,12,40,0.013329736636493488,1.3329736636493488
gnn,43,13,36,0.013127948886940447,1.3127948886940446
gnn,43,14,29,0.013873672944642527,1.3873672944642528
gnn,43,15,25,0.010434971732682817,1.0434971732682816
gnn,44,9,48,0.011390213815288895,1.1390213815288894
gnn,44,10,45,0.01124105358866118,1.124105358866118
gnn,44,11,41,0.009793970596845067,0.9793970596845067
gnn,44,12,40,0.011823679111348259,1.182367911134826
gnn,44,13,36,0.009956105296688278,0.9956105296688278
gnn,44,14,29,0.012638607852628396,1.2638607852628396
gnn,44,15,25,0.00947016820555822,0.947016820555822
gnn,45,9,48,0.011301448362072447,1.1301448362072448
gnn,45,10,45,0.00957520334440226,0.9575203344402259
gnn,45,11,41,0.010301031192384022,1.0301031192384023
gnn,45,12,40,0.011876759949888314,1.1876759949888314
gnn,45,13,36,0.011219469407990602,1.1219469407990603
gnn,45,14,29,0.01354763627267101,1.354763627267101
gnn,45,15,25,0.009860679964061588,0.9860679964061588
gnn,46,9,48,0.01080924768173073,1.080924768173073
gnn,46,10,45,0.010609654046405058,1.060965404640506
gnn,46,11,41,0.009575793063078106,0.9575793063078106
gnn,46,12,40,0.011662732435726185,1.1662732435726184
gnn,46,13,36,0.010708430144114739,1.0708430144114738
gnn,46,14,29,0.013991244376303738,1.3991244376303738
gnn,46,15,25,0.010019780040764372,1.0019780040764372
gnn_mean,42,9,48,0.011423650690183558,1.1423650690183558
gnn_mean,42,10,45,0.010171565521705188,1.0171565521705188
gnn_mean,42,11,41,0.010183987742076113,1.0183987742076113
gnn_mean,42,12,40,0.013026890567824436,1.3026890567824436
gnn_mean,42,13,36,0.011217784263763554,1.1217784263763555
gnn_mean,42,14,29,0.014441441482384663,1.4441441482384663
gnn_mean,42,15,25,0.010505211978662152,1.0505211978662152
gnn_mean,43,9,48,0.011108012613705169,1.110801261370517
gnn_mean,43,10,45,0.010315178472799735,1.0315178472799735
gnn_mean,43,11,41,0.01057530780200332,1.057530780200332
gnn_mean,43,12,40,0.011651386053408222,1.1651386053408221
gnn_mean,43,13,36,0.010841689092906072,1.084168909290607
gnn_mean,43,14,29,0.012734316480006403,1.2734316480006402
gnn_mean,43,15,25,0.009103298817501644,0.9103298817501644
gnn_mean,44,9,48,0.010815938091905203,1.0815938091905202
gnn_mean,44,10,45,0.009953411076496051,0.9953411076496052
gnn_mean,44,11,41,0.009333353762219533,0.9333353762219533
gnn_mean,44,12,40,0.011140172296493712,1.114017229649371
gnn_mean,44,13,36,0.009881569121799683,0.9881569121799683
gnn_mean,44,14,29,0.011439169779706255,1.1439169779706255
gnn_mean,44,15,25,0.009284800452287032,0.9284800452287032
gnn_mean,45,9,48,0.013465564145286366,1.3465564145286366
gnn_mean,45,10,45,0.009620673200946754,0.9620673200946753
gnn_mean,45,11,41,0.009932043962552947,0.9932043962552947
gnn_mean,45,12,40,0.012291686496407234,1.2291686496407235
gnn_mean,45,13,36,0.011663125953441923,1.1663125953441922
gnn_mean,45,14,29,0.018085890921825633,1.8085890921825634
gnn_mean,45,15,25,0.010645841831555081,1.064584183155508
gnn_mean,46,9,48,0.011270801964986574,1.1270801964986574
gnn_mean,46,10,45,0.010267496542947382,1.0267496542947383
gnn_mean,46,11,41,0.010125866008610356,1.0125866008610356
gnn_mean,46,12,40,0.011418997926912302,1.1418997926912302
gnn_mean,46,13,36,0.009686720803488539,0.9686720803488539
gnn_mean,46,14,29,0.012913904055413872,1.2913904055413872
gnn_mean,46,15,25,0.009267843143373188,0.9267843143373188
gnn_zero_edge_features,42,9,48,0.01116126297305612,1.116126297305612
gnn_zero_edge_features,42,10,45,0.010333029263888613,1.0333029263888613
gnn_zero_edge_features,42,11,41,0.009326099408049382,0.9326099408049382
gnn_zero_edge_features,42,12,40,0.0118752024838792,1.18752024838792
gnn_zero_edge_features,42,13,36,0.010261861544665586,1.0261861544665585
gnn_zero_edge_features,42,14,29,0.01201543774099889,1.2015437740998889
gnn_zero_edge_features,42,15,25,0.008948780078379777,0.8948780078379777
gnn_zero_edge_features,43,9,48,0.01145978821542515,1.145978821542515
gnn_zero_edge_features,43,10,45,0.011042507035905386,1.1042507035905387
gnn_zero_edge_features,43,11,41,0.010303594390960319,1.0303594390960318
gnn_zero_edge_features,43,12,40,0.012895530477532549,1.2895530477532549
gnn_zero_edge_features,43,13,36,0.011203050910272945,1.1203050910272945
gnn_zero_edge_features,43,14,29,0.01265482802139859,1.265482802139859
gnn_zero_edge_features,43,15,25,0.008812036807419784,0.8812036807419784
gnn_zero_edge_features,44,9,48,0.011504778598523923,1.1504778598523924
gnn_zero_edge_features,44,10,45,0.010557232016463376,1.0557232016463376
gnn_zero_edge_features,44,11,41,0.010084088715981173,1.0084088715981174
gnn_zero_edge_features,44,12,40,0.012304621272277595,1.2304621272277594
gnn_zero_edge_features,44,13,36,0.011073958807249915,1.1073958807249915
gnn_zero_edge_features,44,14,29,0.011710701244970055,1.1710701244970054
gnn_zero_edge_features,44,15,25,0.010034037383853351,1.0034037383853351
gnn_zero_edge_features,45,9,48,0.011404507019411652,1.1404507019411652
gnn_zero_edge_features,45,10,45,0.010055320280754995,1.0055320280754996
gnn_zero_edge_features,45,11,41,0.010660338583813768,1.0660338583813769
gnn_zero_edge_features,45,12,40,0.01227111000811951,1.227111000811951
gnn_zero_edge_features,45,13,36,0.011160196683866575,1.1160196683866574
gnn_zero_edge_features,45,14,29,0.012764241671691868,1.2764241671691867
gnn_zero_edge_features,45,15,25,0.009703793953188076,0.9703793953188076
gnn_zero_edge_features,46,9,48,0.011914112312008915,1.1914112312008915
gnn_zero_edge_features,46,10,45,0.011711113401544388,1.1711113401544389
gnn_zero_edge_features,46,11,41,0.010051586581427536,1.0051586581427536
