protocol,model,seed,test_geometries,threshold,reference_events,reference_censored,predicted_events,predicted_censored,true_positive,false_negative,false_positive,true_negative,recall,false_positive_rate,balanced_accuracy,both_event_count,both_event_population_fraction,both_event_reference_event_fraction,conditional_timing_MAE_s,conditional_timing_median_abs_s,conditional_timing_bias_s,optimistic_late_or_missed_count,recross_above_threshold_count,recross_fraction_all_cases,recross_fraction_predicted_event_cases
iid997,fire_only,42,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,11.25,0.0,-9.583333333333334,2,0,0.0,0.0
iid997,fire_only,42,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,54.46808510638298,60.0,-7.659574468085107,42,0,0.0,0.0
iid997,fire_only,43,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,11.666666666666666,0.0,-9.166666666666666,3,0,0.0,0.0
iid997,fire_only,43,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,54.46808510638298,60.0,-5.957446808510638,43,0,0.0,0.0
iid997,fire_only,44,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,11.25,0.0,-9.583333333333334,2,0,0.0,0.0
iid997,fire_only,44,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,55.744680851063826,60.0,-8.085106382978724,42,0,0.0,0.0
iid997,fire_only,45,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,12.083333333333334,0.0,-7.916666666666667,5,0,0.0,0.0
iid997,fire_only,45,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,52.765957446808514,60.0,-5.1063829787234045,43,0,0.0,0.0
iid997,fire_only,46,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,12.083333333333334,0.0,-7.916666666666667,5,0,0.0,0.0
iid997,fire_only,46,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,52.765957446808514,60.0,-0.851063829787234,45,0,0.0,0.0
iid997,global_stats,42,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,10.833333333333334,0.0,-2.5,10,0,0.0,0.0
iid997,global_stats,42,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,32.765957446808514,0.0,-5.531914893617022,27,0,0.0,0.0
iid997,global_stats,43,160,0.8,144,16,144,16,144,0,0,16,1.0,0.0,1.0,144,0.9,1.0,10.416666666666666,0.0,-2.9166666666666665,9,0,0.0,0.0
iid997,global_stats,43,160,0.6,141,19,141,19,141,0,0,19,1.0,0.0,1.0,141,0.88125,1.0,31.914893617021278,0.0,-7.23404255319149,24,0,0.0,0.0
