case_id,family,role,cracks,L_m,b_m,h_m
b004_0000,merged_b004_0000,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0001,merged_b004_0001,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0002,merged_b004_0002,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0003,merged_b004_0003,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0004,merged_b004_0004,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0005,merged_b004_0005,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0006,merged_b004_0006,quarantine,3,1.5,0.14000000059604645,0.20000000298023224
b004_0007,merged_b004_0007,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0008,merged_b004_0008,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0009,merged_b004_0009,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0010,merged_b004_0010,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0011,merged_b004_0011,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0012,merged_b004_0012,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0013,merged_b004_0013,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0014,merged_b004_0014,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0015,merged_b004_0015,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0017,merged_b004_0017,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0018,merged_b004_0018,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0019,merged_b004_0019,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0020,merged_b004_0020,quarantine,4,1.5,0.14000000059604645,0.20000000298023224
b004_0021,merged_b004_0021,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0022,merged_b004_0022,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0023,merged_b004_0023,quarantine,7,1.5,0.14000000059604645,0.20000000298023224
b004_0024,merged_b004_0024,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0025,merged_b004_0025,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0026,merged_b004_0026,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0027,merged_b004_0027,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0028,merged_b004_0028,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0029,merged_b004_0029,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0030,merged_b004_0030,quarantine,3,1.5,0.14000000059604645,0.20000000298023224
b004_0031,merged_b004_0031,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0032,merged_b004_0032,quarantine,1,1.5,0.14000000059604645,0.20000000298023224
b004_0033,merged_b004_0033,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0034,merged_b004_0034,quarantine,3,1.5,0.14000000059604645,0.20000000298023224
b004_0035,merged_b004_0035,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0036,merged_b004_0036,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0037,merged_b004_0037,quarantine,5,1.5,0.14000000059604645,0.20000000298023224
b004_0038,merged_b004_0038,quarantine,5,1.5,0.14000000059604645,0.20000000298023224
b004_0039,merged_b004_0039,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0040,merged_b004_0040,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0041,merged_b004_0041,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0042,merged_b004_0042,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0043,merged_b004_0043,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0044,merged_b004_0044,quarantine,3,1.5,0.14000000059604645,0.20000000298023224
b004_0045,merged_b004_0045,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0046,merged_b004_0046,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0047,merged_b004_0047,quarantine,3,1.5,0.14000000059604645,0.20000000298023224
b004_0048,merged_b004_0048,quarantine,2,1.5,0.14000000059604645,0.20000000298023224
b004_0049,merged_b004_0049,quarantine,6,1.5,0.14000000059604645,0.20000000298023224
b004_0050,merged_b004_0050,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0051,merged_b004_0051,quarantine,4,1.5,0.14000000059604645,0.20000000298023224
b004_0052,merged_b004_0052,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0053,merged_b004_0053,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0054,merged_b004_0054,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0055,merged_b004_0055,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0056,merged_b004_0056,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0057,merged_b004_0057,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0058,merged_b004_0058,quarantine,7,1.5,0.14000000059604645,0.20000000298023224
b004_0059,merged_b004_0059,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0060,merged_b004_0060,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
b004_0061,merged_b004_0061,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0062,merged_b004_0062,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0063,merged_b004_0063,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0064,merged_b004_0064,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0065,merged_b004_0065,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0066,merged_b004_0066,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0067,merged_b004_0067,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0068,merged_b004_0068,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0069,merged_b004_0069,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0070,merged_b004_0070,quarantine,3,1.5,0.14000000059604645,0.20000000298023224
b004_0071,merged_b004_0071,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0072,merged_b004_0072,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0073,merged_b004_0073,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
b004_0074,merged_b004_0074,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0075,merged_b004_0075,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0076,merged_b004_0076,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0077,merged_b004_0077,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0078,merged_b004_0078,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0079,merged_b004_0079,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0080,merged_b004_0080,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0081,merged_b004_0081,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0082,merged_b004_0082,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0084,merged_b004_0084,quarantine,3,1.5,0.14000000059604645,0.20000000298023224
b004_0086,merged_b004_0086,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0087,merged_b004_0087,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0088,merged_b004_0088,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0089,merged_b004_0089,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0090,merged_b004_0090,quarantine,1,1.5,0.14000000059604645,0.20000000298023224
b004_0091,merged_b004_0091,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0092,merged_b004_0092,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0093,merged_b004_0093,quarantine,8,1.5,0.14000000059604645,0.20000000298023224
b004_0094,merged_b004_0094,quarantine,5,1.5,0.14000000059604645,0.20000000298023224
b004_0095,merged_b004_0095,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0096,merged_b004_0096,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0097,merged_b004_0097,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0098,merged_b004_0098,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0099,merged_b004_0099,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0100,merged_b004_0100,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0101,merged_b004_0101,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0102,merged_b004_0102,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0103,merged_b004_0103,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0104,merged_b004_0104,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0106,merged_b004_0106,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0108,merged_b004_0108,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0109,merged_b004_0109,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0112,merged_b004_0112,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0113,merged_b004_0113,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0115,merged_b004_0115,quarantine,3,1.5,0.14000000059604645,0.20000000298023224
b004_0116,merged_b004_0116,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0117,merged_b004_0117,quarantine,1,1.5,0.14000000059604645,0.20000000298023224
b004_0118,merged_b004_0118,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0120,merged_b004_0120,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0121,merged_b004_0121,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0123,merged_b004_0123,quarantine,2,1.5,0.14000000059604645,0.20000000298023224
b004_0124,merged_b004_0124,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0125,merged_b004_0125,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0126,merged_b004_0126,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0127,merged_b004_0127,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0128,merged_b004_0128,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0129,merged_b004_0129,quarantine,6,1.5,0.14000000059604645,0.20000000298023224
b004_0130,merged_b004_0130,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0131,merged_b004_0131,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0132,merged_b004_0132,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0133,merged_b004_0133,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0135,merged_b004_0135,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0136,merged_b004_0136,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0137,merged_b004_0137,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0139,merged_b004_0139,train,2,1.5,0.14000000059604645,0.20000000298023224
b004_0140,merged_b004_0140,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0144,merged_b004_0144,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0145,merged_b004_0145,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0147,merged_b004_0147,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0148,merged_b004_0148,quarantine,4,1.5,0.14000000059604645,0.20000000298023224
b004_0149,merged_b004_0149,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0151,merged_b004_0151,quarantine,5,1.5,0.14000000059604645,0.20000000298023224
b004_0153,merged_b004_0153,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0154,merged_b004_0154,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0155,merged_b004_0155,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0156,merged_b004_0156,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0157,merged_b004_0157,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0158,merged_b004_0158,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0159,merged_b004_0159,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0161,merged_b004_0161,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0162,merged_b004_0162,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0163,merged_b004_0163,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0164,merged_b004_0164,train,8,1.5,0.14000000059604645,0.20000000298023224
b004_0166,merged_b004_0166,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0167,merged_b004_0167,train,1,1.5,0.14000000059604645,0.20000000298023224
b004_0168,merged_b004_0168,train,6,1.5,0.14000000059604645,0.20000000298023224
b004_0171,merged_b004_0171,train,4,1.5,0.14000000059604645,0.20000000298023224
b004_0172,merged_b004_0172,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0173,merged_b004_0173,train,7,1.5,0.14000000059604645,0.20000000298023224
b004_0176,merged_b004_0176,train,3,1.5,0.14000000059604645,0.20000000298023224
b004_0177,merged_b004_0177,quarantine,2,1.5,0.14000000059604645,0.20000000298023224
b004_0179,merged_b004_0179,train,5,1.5,0.14000000059604645,0.20000000298023224
b004_0180,merged_b004_0180,train,3,1.5,0.14000000059604645,0.20000000298023224
